Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
PACA_AU_seq_SA408414	0.01161672597823486	0.00000000000000000	0.01168755124244418	0.00938150939108887	0.00000000000000000	0.17297482072716136	0.00000000000000000	0.00000000000000000	0.00322287382011224	0.01081975005657521	0.00000000000000000	0.04296450057400891	0.03827862317801509	0.19655626872465645	0.00338215681461765	0.38529056314232951	0.01203186763205760	0.01182958832559371	0.05076793420022160	0.00000000000000000	0.01605543588829327	0.02313983030458943	0.00000000000000000	0.75039211386273186	0.70347599548978268
PACA_AU_seq_SA408530	0.02159519255091815	0.00000000000000000	0.07690163412568100	0.05404639908216030	0.00000000000000000	0.12145085433318481	0.07999793747175886	0.02207497370139519	0.00000000000000000	0.00000000000000000	0.00935267381618406	0.02939049483313514	0.01593046819398330	0.09774967138532241	0.03821303846677847	0.26408649139772417	0.00944679952619488	0.05676884904546759	0.07030842001951118	0.00000000000000000	0.00878521904656302	0.02390088300403734	0.00000000000000000	0.79540137771267905	0.72597004946535759
PACA_AU_seq_SA408570	0.04286637233582051	0.00000000000000000	0.03808520530644839	0.00513279279216310	0.00000000000000000	0.20720425782206783	0.00000000000000000	0.01421060682924830	0.01614292816641267	0.00000000000000000	0.00926485071394083	0.03125085394639546	0.01609172582656252	0.10172485833888646	0.00896999103474093	0.34767736986173164	0.02825203158805352	0.02894063574060866	0.06612569770438077	0.00749549276449971	0.00000000000000000	0.03056432922803883	0.00000000000000000	0.61617667223394834	0.80728162174220086
PACA_AU_seq_SA408758	0.03188425411045852	0.00000000000000000	0.06897960931084061	0.03222179620345627	0.00000000000000000	0.30131520120857869	0.02386476353087940	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02229452086463576	0.00000000000000000	0.01870028088353728	0.00000000000000000	0.03015033813672783	0.28678995840778959	0.01388659715223517	0.02065162444488017	0.14010958070499555	0.00000000000000000	0.00000000000000000	0.00915147504098504	0.00000000000000000	0.72684864864696952	0.76037367670169442
PACA_AU_seq_SA408867	0.03072497866396162	0.00000000000000000	0.07067562631868841	0.00000000000000000	0.00000000000000000	0.11489306966625468	0.00000000000000000	0.01608354285503539	0.00000000000000000	0.00000000000000000	0.03315984815830317	0.00109678867733893	0.00000000000000000	0.33541090282451397	0.00930414919788913	0.29564722401071897	0.00000000000000000	0.00641530858423635	0.00000000000000000	0.06293563508683246	0.00006655393960819	0.02358637201661870	0.00000000000000000	0.87145909041472025	0.58255221676490887
PACA_AU_seq_SA409775	0.02515426014945529	0.00000000000000000	0.10609889067754999	0.01100439064963871	0.00000000000000000	0.19829235531155526	0.00018804369971529	0.00488050462583886	0.00000000000000000	0.00000000000000000	0.01466900769763863	0.02891765321311975	0.00480539010660794	0.12039562347980158	0.01073330655468166	0.33445506656646889	0.00000000000000000	0.04405052440581957	0.04783349169575972	0.00000000000000000	0.01619013560413785	0.03233135556221110	0.00000000000000000	0.65009545554745563	0.79036062957813902
PACA_AU_seq_SA410103	0.03008593861534498	0.00000000000000000	0.06140696856457961	0.03730005342761469	0.00000000000000000	0.19616842453727729	0.02835559365817951	0.01410034102825004	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05036235586335727	0.03940745725862516	0.02055810456975689	0.02622668875857075	0.34635256761621086	0.00848566536559981	0.02542135280564583	0.07599547335914543	0.01919389100544842	0.01245118371295811	0.00812793985343564	0.00000000000000000	0.74979488176342546	0.74638117556117711
PACA_AU_seq_SA410118	0.02270799615268013	0.00000000000000000	0.07128844715401091	0.02307343767329074	0.00000000000000000	0.16148140275262499	0.00000000000000000	0.00751070450572802	0.02276165052636875	0.00000000000000000	0.00000000000000000	0.06136995089076607	0.00503291683034182	0.10516511241762765	0.03563524298612138	0.40244066021177777	0.00041402203105984	0.00000000000000000	0.04582428453469988	0.00000000000000000	0.00000000000000000	0.03529417133290225	0.00000000000000000	0.69635996990823512	0.75689300510162383
PACA_AU_seq_SA410263	0.06957831342644981	0.00000000000000000	0.11401616796667677	0.04847880088174276	0.00000000000000000	0.23800141566040584	0.00565222478488170	0.00000000000000000	0.00090931734463035	0.00000000000000000	0.00000000000000000	0.02521324969034428	0.08489579763373212	0.00740066621647910	0.01712430608837253	0.21075719506346438	0.11156044257639938	0.02215936388012282	0.02541150326949502	0.00456806994609369	0.00617231614214539	0.00810084942856417	0.00000000000000000	0.77204335218120834	0.74485454740129675
PACA_AU_seq_SA410311	0.00807296213120225	0.01015336405633779	0.03693010016134658	0.01391184129494835	0.00000000000000000	0.16508472713449693	0.00000000000000000	0.00370983351175984	0.00686820026976391	0.00000000000000000	0.00000000000000000	0.06962341009326985	0.00000000000000000	0.12457591829261314	0.02524619233771396	0.40583026454766086	0.00000000000000000	0.00000000000000000	0.03670798948588732	0.00909061751009521	0.00099377221561018	0.08320080695729383	0.00000000000000000	0.64448674915241688	0.78038464623927595
