Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
Human_190430T1Pi_S6	0.03147517464702945	0.00000000000000000	0.00179695937835864	0.15341312570144730	0.00000000000000000	0.29510611484874250	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03187886316297883	0.01499987474077168	0.00000000000000000	0.01706272410015661	0.31273982106992032	0.00564885713894427	0.00866331766236582	0.08386136028917823	0.00703519801989740	0.03108324664151127	0.00523536259869778	0.00200000000000000	0.62992430728843662	0.79978694937876615
Human_P100422T1Pi_S15	0.01499752261408267	0.00000000000000000	0.00235943580509277	0.03791684201126772	0.00000000000000000	0.22021020619548975	0.00745345310447071	0.00000000000000000	0.00195106963033914	0.00000000000000000	0.00882565026984409	0.01915220914783087	0.00749536342977125	0.29546591206037054	0.01896293703541418	0.18551832799018297	0.00565646444353184	0.01375518655045661	0.01718996595258966	0.06698413544697165	0.04581656125108084	0.03028875706121281	0.00200000000000000	0.74849315311819142	0.71035798188785648
Human_P100520T2Pi_S1	0.01526075684355644	0.00017622893970268	0.00240786515362647	0.02486706649294791	0.00000000000000000	0.14061559512037530	0.00067276598657666	0.00000000000000000	0.00430006890736535	0.00000000000000000	0.01574412204415123	0.00569524603488595	0.28517586914179438	0.07254863862991959	0.00771342643684045	0.26069217784698856	0.00897681859497369	0.00296332862382554	0.14466439733848852	0.00000000000000000	0.00752562786398130	0.00000000000000000	0.00200000000000000	0.81276215715426048	0.68475566364548524
Human_P100923T1Pi_S2	0.01359990500194371	0.04399483568628616	0.03026114075195208	0.08651954111549270	0.00000000000000000	0.30336218292816797	0.01743011196915207	0.00543756473659834	0.00000000000000000	0.00000000000000000	0.03675578319440721	0.00000000000000000	0.07334316011576338	0.00000000000000000	0.01198947043818826	0.30612398908461108	0.01035788428044975	0.03454138533092398	0.00543396275732463	0.01962752786072763	0.00000000000000000	0.00122155474801144	0.00200000000000000	0.76532015666081998	0.73103682867695030
Human_P110406T1Pi_S1	0.03920676041758975	0.00000000000000000	0.00183036970690119	0.04227399513454674	0.00000000000000000	0.37311279891208154	0.00758030799623087	0.00000000000000000	0.00000000000000000	0.04252056348292463	0.00000000000000000	0.00000000000000000	0.05758772362488430	0.00088514909724709	0.03383656476982981	0.33248176849427657	0.00862111890494792	0.00000000000000000	0.04415188243754652	0.01591099702099291	0.00000000000000000	0.00000000000000000	0.00200000000000000	0.64665762196498611	0.79077494394600134
Human_P110406T2Pi_S2	0.01822562337018153	0.01588424470056165	0.00242337378930548	0.06419527938253709	0.00000000000000000	0.17568807421980887	0.00000000000000000	0.00000000000000000	0.01005206797726338	0.00000000000000000	0.00470018811834340	0.02320495152441052	0.05032716024206373	0.04663042760315134	0.02589666061864436	0.34470344443188256	0.05036838238466960	0.00252952899406755	0.16029660587038835	0.00000000000000000	0.00000000000000000	0.00487398677272058	0.00200000000000000	0.75815730927859037	0.73444299166880878
Human_P110513T1Pi_OR_S45	0.02544861496435424	0.00213886812181910	0.00949320977820453	0.07416854799909345	0.00000000000000000	0.24386166186688840	0.02069990116933977	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07360367376380457	0.00000000000000000	0.05221117551912030	0.06291571904165692	0.03892732652773096	0.28258539684645140	0.00325440814209563	0.01487630264673129	0.07216867836172866	0.00000000000000000	0.01091448802251448	0.01273202722846650	0.00200000000000000	0.73797609642847917	0.74878333070813663
Human_P120705T1Pi_S6	0.01205444132761544	0.00000000000000000	0.00134432022335453	0.11301615794782911	0.00000000000000000	0.21944297971093574	0.00000000000000000	0.00000000000000000	0.00527611738718276	0.00000000000000000	0.00000000000000000	0.03922615491212713	0.05195331084481929	0.04008154309757105	0.03589046530614432	0.37986271003108735	0.03723921917062707	0.00000000000000000	0.02651682011290120	0.03109953944259703	0.00000000000000000	0.00699622048520795	0.00200000000000000	0.70554376164805321	0.75332740765336959
Human_P120921T1Pi_2914_KAPA_S2	0.01396364890575446	0.01268807479914268	0.00087514611438639	0.06849392704110407	0.00000000000000000	0.39284414804371326	0.00095501039494526	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03139567315801476	0.01162459601198810	0.02486338085648569	0.06032182307962903	0.00738209529562031	0.25596396131815863	0.00544883043332879	0.03851433039695813	0.06828032772202071	0.00405253589764218	0.00000000000000000	0.00233249053110765	0.00200000000000000	0.63317762385087339	0.79796004818210220
Human_P140605T1Pi_TPF_S16	0.00605629656143295	0.00976129224275257	0.00000000000000000	0.15326558198330259	0.00000000000000000	0.14936127638335517	0.00000000000000000	0.00717473621458751	0.01815241567452750	0.01194064501579600	0.00000000000000000	0.04400449552371459	0.04618617033815085	0.08435517594489866	0.03274339319130266	0.29705903933346639	0.02966407712187059	0.00000000000000000	0.07297753193665334	0.00000000000000000	0.02654390234394818	0.01075397019024057	0.00200000000000000	0.79155765239198583	0.70988362872774780
