"MPAM03PT01","MPAM06PT09","MPAM06PT10","MPAM06PT11","PAM02PT09","PAM02PT10","PAM02PT11","PAM02PT12","PAM02PT13","PAM02PT14","PAM02PT16","PAM02PT17","PAM02PT18","PAM02PT19","PAM02PT20","PAM02PT21","PAM02PT22","PAM02PT24","PAM02PT25","PAM02PT26","PAM02PT27","PAM02PT28","PAM02PT29","PAM03PT08","PAM03PT09","PAM03PT10","PAM03PT15","PAM03PT16","PAM03PT17","PAM03PT18","PAM03PT19","PAM03PT20","PAM03PT21","PAM03PT22","PAM03PT23","PAM03PT24","PAM03PT25","PAM03PT26","PAM04PT06","PAM04PT07","PAM04PT08","PAM16PT01","PAM16PT02","PAM22PT01","PAM22PT02","PAM22PT04","PAM22PT05","PAM22PT07","PAM22PT08","PAM22PT10","PAM22PT11","PAM22PT12","PAM24PT01","PAM25PT01","PAM27PT01","PAM27PT02","PAM27PT03","PAM28PT01","PAM28PT02","PAM28PT03","PAM28PT06","PAM28PT07","PAM29PT01","PAM47PT02","PAM47PT03","PAM47PT04","PAM47PT05","PAM47PT06","PAM47PT07","PAM48PT01","PAM48PT02","PAM49PT05","PAM49PT06","PAM50PT01","PAM50PT02","PAM51PT01","PAM52PT01","PAM52PT02","PAM52PT03","PAM53PT04","PAM53PT05","PAM53PT06","PAM53PT07","PAM53PT08","PAM53PT09","PAM53PT10","PAM53PT11","PAM53PT12","PAM53PT13","PAM53PT14","PAM53PT15","PAM53PT16","PAM53PT17","PAM53PT18","PAM54PT05","PAM54PT06","PAM54PT07","PAM54PT08","PAM54PT09","PAM54PT11","PAM54PT12","PAM54PT13","PAM54PT14","PAM54PT15","PAM54PT16","PAM54PT17","PAM54PT18","PAM54PT19","PAM55PT05","PAM55PT06","PAM55PT07","PAM55PT08","PAM55PT09","PAM55PT10","PAM55PT11","PAM55PT13","PAM55PT14","PAM55PT15","PAM55PT16","PAM55PT17","PAM55PT18","PAM56PT06","PAM56PT07"
1.365107,0.189975,0.336379,0.089135,2.322353,2.994903,7.323902,0.761901,0.674993,2.514788,12.812248,0.208408,0.117882,4.403313,1.777123,0.093305,0.09405,6.140185,2.677442,4.155465,0.98784,1.567269,1.490564,12.144832,2.307134,1.716485,3.326912,2.672359,4.553709,1.647171,2.669371,3.200148,5.515084,1.226539,2.802441,1.803636,0.68193,0.21137,3.432015,0.733217,0.275024,1.068744,0.980557,3.393067,1.212485,1.98486,0.91335,0.468602,0.06591,0.004365,0.001342,5.626981,2.12661,0.49366,1.423772,0.425652,0.438674,0.10723,0.069247,0.043318,0.206266,0.029507,0.180159,9.29718,2.600282,0.59898,0.193541,3.294138,4.329322,0.180201,0.051038,0.566658,10.157401,1.168404,1.636399,10.037116,4.991515,2.759503,7.766427,0.814639,1.253968,0.478657,0.546372,0.849159,1.440119,0.766535,0.781053,1.926597,0.567613,1.056322,1.045469,1.08012,0.2118,1.220643,1.356112,1.426463,1.033727,1.082366,0.727361,2.976792,1.372146,5.104531,1.313954,3.736249,1.18395,1.981574,4.892129,0.738348,2.953678,2.392849,2.20367,1.442197,1.239741,2.126225,0.819758,3.689346,1.988488,0.360411,8.343839,4.906353,0.002764,0.970559,0.179387
0.293382,1.904992,1.030129,3.394291,5.584289,0.072176,2.789311,4.86789,4.902694,6.511561,0.083296,24.788706,1.11415,3.813279,12.887001,13.397359,0.460547,0.083881,0.575424,0.778657,0.57663,0.046657,0.440692,11.634442,0.798907,3.037481,7.715897,7.597114,11.405857,21.15205,12.538307,12.876982,16.508478,2.726386,18.762775,10.865778,11.868069,50.229515,1.26585,1.119755,9.812503,0.25946,1.643765,4.311001,0.615565,0.404631,6.005653,7.60115,0.365891,0.300396,0.070356,0.068005,6.698397,1.010123,2.105717,14.461234,4.822693,0.09279,0.088759,0.540388,0.206516,0.023203,6.881706,3.328589,4.472554,0.385108,0.334526,3.512013,6.550245,19.057619,1.11217,7.522222,15.610639,2.053301,0.554752,0.475931,0.757014,0.776909,7.916995,0.385852,0.178747,1.437485,1.312049,0.235404,1.575264,4.340388,3.838175,6.750117,0.549393,1.393465,0.805605,1.121045,0.456131,9.716564,0.52804,0.24253,0.119609,0.621071,0.006672,0.005678,0.019654,0.021187,0,0.019795,0.914885,1.087069,0.039258,0.09117,2.601215,32.230914,7.075756,2.468971,7.36317,2.100946,5.141266,0.870208,11.339075,3.378797,2.698703,1.195514,2.611885,0.158695,0.117555
0.896432,1.649246,1.261109,1.390589,1.667742,1.1284,1.626587,3.611237,2.677418,6.176205,0.456536,1.351815,0.637331,2.754202,1.587385,1.522874,0.724676,0.544529,0.412679,1.766422,0.236387,0.398064,0.347417,3.136073,4.83884,5.34049,4.862198,2.881204,4.948297,4.946668,3.319806,2.997265,7.859614,1.301866,7.388942,2.417059,3.923976,8.834188,2.000216,1.166812,1.464547,2.336289,1.892449,2.292814,0.653323,1.991414,4.181348,3.347235,0.42966,0.335499,0.114734,2.495011,2.129349,2.17519,1.627552,1.605157,1.2056,0.260174,0.321864,0.183719,0.490258,0.437035,0.850658,3.399037,1.317609,1.022841,0.458779,0.93329,1.265333,2.673746,0.157594,0.547483,3.569473,2.238384,0.605255,4.802515,3.10927,1.378175,2.796525,0.854809,0.946392,1.520981,0.696215,1.829965,1.858538,1.632889,1.209019,2.807713,0.860364,0.974635,0.573143,0.883163,0.957262,2.179355,1.903228,1.68149,1.513288,2.777552,0.789458,3.260819,1.956002,0.436636,1.358862,2.037107,2.667283,1.539189,0.885464,0.871318,3.356913,2.513608,6.503288,3.855951,2.674222,5.721194,3.00188,2.953987,4.526753,2.607416,6.44032,4.892408,0.250068,0.85457,0.48731
0.09277,2.401353,1.11309,3.173972,6.484474,0.064775,1.004502,2.724732,1.841115,3.157341,0.109739,10.865124,0.861112,1.540323,3.400032,7.733084,0.588662,0.032444,0.361379,0.395172,0.296264,0.02474,0.3135,23.949305,0.45067,2.191053,5.423977,1.866983,8.465734,10.90539,12.184667,6.282278,8.45616,0.513608,8.334974,12.435756,38.883599,61.789935,1.094398,7.656552,22.822277,0.233577,1.659206,2.861297,0.046951,0.399812,0.944518,1.339223,0.348986,0.108736,0.060681,0.020344,2.215424,0.503409,1.02935,16.855567,6.877111,0.013022,0.019751,0.096438,0.005029,0,14.360749,2.430801,5.236175,0.143307,0.425199,2.935321,6.56733,3.344472,0.94624,62.114499,6.802292,0.829792,0.30378,0.488898,0.603444,0.730732,2.152835,0.046199,0.180687,0.271142,0.184064,0.13348,0.193024,1.027376,0.716015,2.762143,0.10497,2.04308,0.173897,0.050504,0.917953,3.180572,0.263026,0.055193,0.088305,0.019937,0.004725,0,0,0.158932,0.00908,0.026359,0.213648,0.181991,0.433387,0.020832,1.089358,20.091214,7.47983,10.500324,2.195118,0.589848,1.415347,0.829421,4.536492,0.48818,0.448297,0.217201,0.3019,0.716598,0.090142
0.016385,0.027634,0.102779,0.026181,0.125636,0.129478,0.143091,0.159909,0.139625,0.183068,0.183326,0.09775,0.128831,0.409932,0.060278,0.051058,0.018111,0.031271,0.097715,0.102224,0.083241,0,0.105264,0.45349,0.195264,0.101895,0.596099,0.280098,0.616671,0.189782,0.803066,0.460398,1.060308,0.045317,0.376853,0.126812,0.116094,0.122216,0.080773,0.169438,0.765042,0.058646,0.040693,0.279331,2.370383,0.065353,0.124874,0.110918,0.046593,0.10466,0.058828,0.85153,0.080646,0.103182,0.059446,0.354397,0.299524,0.143379,0.102729,0.028666,0.301806,0.084504,0.163334,0.596488,0.327182,0.233721,0.259604,0.39358,0.596593,0.030484,0.084799,2.109692,0.866265,0.431703,0.393465,0.621805,0.230528,0.117487,0.185574,1.113347,0.957849,0.994272,0.419568,3.173506,3.897019,0.616427,1.216098,1.577445,0.871864,0.860739,1.1092,2.225748,0.503676,0.991163,0.013953,0.003828,0.018405,0.060885,0,0.05889,0.031536,0,0,0,0,0.072637,0.035851,0,0.16167,0.254669,0.409798,0.143405,0.076467,0.348289,0.028675,0.388771,0.177454,0.015741,0.437008,0.201502,0.00904,0.068621,0
0.00488,0.295552,0.128774,0.814524,0.615058,0.00898,0.064866,0.522817,0.853924,0.393557,0.005638,2.896189,0.217432,1.127616,0.803194,1.546341,0.015707,0.009947,0.229581,0.026348,0.018213,0.009955,0,0.52292,0.015298,0.515174,0.859602,0.21219,1.08072,4.572935,0.65554,3.247336,2.187931,0.50603,1.776594,1.073424,1.59134,21.674217,0.595155,1.290991,9.152726,0.01637,0.093163,0.256668,0.027923,0.016914,0.142593,0.083775,0.012079,0.024254,0.014937,0.005752,1.296542,0.095445,0.917746,0.742043,0.393249,0.007435,0,0.030378,0.006087,0,2.124071,0.061139,0.82481,0.037565,0.036934,0.876398,4.906827,4.297569,0.191155,0.658232,0.378879,0.235098,0.066723,0,0.015988,0,0.478258,0,0.021855,0.012975,0.010442,0.013745,0.040858,0.059458,0.108511,0.340188,0,0.047996,0.053906,0,0.007389,1.576822,0,0,0.011994,0,0.006445,0,0.014917,0,0,0.011761,0.012027,0.032322,0,0,0.1527,0.38175,0.225799,1.15965,0.765296,0.340858,0.575999,0.012179,2.338556,0.61354,0.226404,0.106253,0.314453,0,0
1.443736,1.894306,3.46441,1.541581,1.426422,1.647464,3.11039,4.952102,2.463613,4.061061,1.868705,2.930448,1.386466,5.325618,1.947049,2.456567,0.886241,1.111087,1.227337,2.49212,1.003833,0.891003,2.051289,11.92518,6.322917,9.60575,4.665145,3.612995,6.340437,3.805959,4.545714,5.676043,4.902646,8.801954,8.533314,3.919652,3.359996,3.338802,1.93392,2.686601,4.696477,2.746483,1.880388,4.54846,3.449418,1.404985,2.613861,2.407332,1.02056,0.791625,0.757333,2.701872,5.848934,5.314025,5.054,4.188751,3.025875,1.986925,1.370598,1.662492,1.225248,1.563543,1.928498,5.297153,2.691532,7.305156,5.717291,6.417263,6.799709,8.487684,0.44228,2.186993,5.235032,4.358266,3.158608,7.144589,4.798877,3.928357,5.112946,3.762495,2.927306,2.915664,1.69748,3.347758,4.058684,3.706519,2.918251,5.115565,2.452403,2.798848,1.268029,2.404026,1.88925,1.810717,4.366454,4.555858,2.682589,3.680934,1.751401,11.794014,6.476929,3.441374,4.223443,7.489268,4.315704,5.266892,5.780621,3.351408,2.500573,3.897826,3.02025,2.64349,2.828623,2.761372,2.151848,2.713265,4.330906,5.165708,7.140236,2.259501,3.430708,2.80787,3.411348
0.523566,1.286081,1.104508,1.153808,3.217379,0.215473,0.996592,2.455656,2.159958,2.86671,0.069767,9.050109,0.560144,2.72443,2.164946,6.259261,0.287252,0.079611,0.381292,0.424137,0.22187,0.10826,0.372848,12.882279,0.991018,2.134264,2.252756,2.39469,4.575551,5.76564,2.964137,4.639721,5.62885,2.316067,8.501443,10.414567,11.068466,35.264184,1.453878,5.388634,15.814686,0.311915,0.518324,1.728835,0.30881,0.661525,0.887324,0.98392,0.208593,0.202239,0.058388,0.302334,9.126328,1.658746,2.081137,5.434822,4.097006,0.040194,0.056708,0.257953,0.06952,0.03494,12.118916,1.254849,1.709892,0.482826,0.414035,2.03306,4.531382,11.298303,0.188063,9.715441,3.975027,0.973261,0.159094,0.827411,0.597413,0.472718,2.464886,0.082111,0.121506,0.117963,0.112584,0.177593,0.158796,0.698538,1.128879,1.358072,0.112449,0.823633,0.050646,0.21837,0.218722,1.610412,0.217508,0.103255,0.097013,0.255531,0.04082,0.33457,0.271088,0.07075,0.054525,0.107891,0.400025,1.557566,0.06804,0.110306,1.799125,10.668835,3.59942,4.103943,3.640245,2.213672,2.596086,0.805705,5.512376,5.411394,5.331716,0.890575,2.769829,0.55286,0.164472
0.125215,0.278453,1.240005,0.248244,0.634303,0.20064,0.436674,0.727791,0.72384,1.869878,0.070649,1.076187,0.599034,0.954269,0.655939,1.403153,0.316992,0.151674,0.267533,0.289125,0.111802,0.032015,0.171664,4.511197,2.691866,1.496106,3.07117,2.30814,2.476601,5.188286,3.073504,2.327791,3.895864,0.744114,3.036326,4.692076,4.762883,8.002317,0.461348,0.993624,0.785915,7.293689,1.502821,0.694013,0.136147,0.331376,0.468615,0.536554,0.15032,0.210044,0.085684,0.13263,0.643704,0.279425,0.353082,0.820611,0.802017,1.629748,1.259864,1.971802,1.119172,0.844586,2.679054,12.96009,1.657445,0.355967,0.324867,0.546758,0.708148,0.814799,0.203244,5.10701,5.60055,1.657478,0.855872,3.144066,6.351217,2.748885,2.234414,1.173559,1.488766,1.06047,0.699519,1.650814,0.624516,0.786893,0.504292,1.679085,0.313583,2.233767,0.241462,0.941988,0.706044,0.998695,0.909297,0.730435,1.257406,0.648765,1.868361,0.99017,0.87277,2.305852,1.821951,1.058062,1.311967,0.886791,2.638925,0.409584,0.833309,1.758712,4.394948,2.262807,0.352069,0.724998,0.230934,1.569742,0.883474,0.342679,0.897026,0.536108,0.26917,0.239571,0.283735
2.252586,10.964566,7.749096,10.45286,4.95881,0.646493,2.059861,10.280805,8.411359,11.964189,0.218999,12.478177,3.063653,4.137714,4.451688,5.468764,0.986118,0.267084,1.504853,1.295628,1.045175,0.158503,1.177551,5.92765,2.553735,10.205601,5.765321,6.328278,20.449017,26.667232,8.24026,50.431774,19.279867,4.442637,35.66746,9.275613,20.490832,60.256535,6.976114,16.123768,31.335127,0.992079,2.927309,6.058925,0.344733,1.344651,1.940558,2.344421,0.457584,3.962393,3.309019,0.430549,15.241856,18.785465,3.077517,13.700261,7.576154,0.034296,0.090921,2.934357,0.410494,0.022856,9.126054,2.765218,2.495695,0.511237,0.668518,7.488098,22.338675,12.120265,0.931517,6.210836,5.103353,6.076654,1.058063,2.543843,0.901946,0.823312,6.476512,0.164765,0.16973,0.651296,0.445893,0.585164,0.552971,2.758777,4.009823,2.695697,0.316951,0.722535,1.041241,0.151815,0.86947,25.002518,1.018454,0.762001,0.603809,0.468216,0.058135,0.405499,0.29409,0.288199,0.382513,0.332144,1.117654,34.176456,0.22519,0.066146,3.653507,8.300872,6.717756,9.428007,8.936296,11.761398,7.243079,1.041492,19.376548,11.864292,15.972867,2.503126,5.830894,5.379354,0.475398
