"S1124.02.01","S1124.02.02","S1124.03.01","S1124.03.02","S1124.04.01","S1124.07.01","S1124.07.02","S1124.08.01","S1124.08.02","S1124.09.01","S1124.11.01","S1124.12.01","S1124.13.01","S1124.13.02","S1124.14.01","S1124.14.02","S1124.15.01","S1124.15.02","S1124.16.01","S1124.16.02","S1124.17.01","S1124.17.02","S1124.21.01","S1124.23.01","S1124.24.01","S1124.24.02","S1124.25.01","S1124.25.02","S1124.28.01","S1124.28.02","S1124.30.01","S1124.30.02","S1124.31.01","S1124.31.02","S1124.32.01","S1124.32.02","S1124.33.01","S1124.33.02","S1124.34.01","S1124.34.02","S1124.35.01","S1124.35.02","S1124.37.01","S1124.37.02","S1124.38.01","S1124.38.02","S1124.40.01","S1124.41.01","S1124.41.02","S1124.42.01","S1124.42.02","S1124.43.01","S1124.43.02","S1124.46.01","S1124.46.02","S1124.48.01","S1124.48.02","S1124.51.01","S1124.51.02","S1124.52.01","S1124.53.01","S1124.53.02","S1124.54.01","S1124.54.02","S1124.57.01","S1124.57.02"
0.817406,0.140174,7.38377,14.1287,1.98758,0.241852,1.8699,0.143132,1.12221,2.5505,2.40892,3.54856,0.886153,0,0,0.455074,0.081767,0,0.74291,0.851204,1.35348,0.242725,2.49627,0.47735,1.42764,2.34248,1.44013,0.465402,19.0857,30.502,4.61146,17.8332,0,1.38041,1.56239,1.45624,0,0,0.665217,0.131805,8.82833,14.2725,3.01617,6.10175,2.58325,3.20165,0.737275,0.115301,3.22644,5.32036,18.1919,3.93105,1.21753,1.56684,4.37963,0.230693,1.38015,0,0,4.46194,1.6215,0,0,1.57238,0,0
0.32586,0.563537,0.727602,0.787364,0.379126,0.263771,0.234699,0.169903,0.124099,0.068414,0.03934,2.63612,0.28472,0.183558,0.146322,0.631857,0.152533,0.20696,0.457524,0.37764,2.20892,0.444301,0.219401,0.189147,0.405657,0.243145,0.348781,0.095802,0.136633,0.236492,0.530801,0.689767,0.623571,0.826938,0.057862,0,0.17803,0.15689,0.235205,0.19622,0.2079,0.274827,0.533554,0.374453,0.404015,0.478722,0.317073,0.557291,0.673944,0.206944,0.191313,0.289476,0.033631,0.196695,0.213081,0.352571,0.185737,1.06899,0.584359,0,0.332282,0.155474,0.532439,1.33679,0.982065,0.365415
2.48044,1.39275,4.89695,6.14795,0.251188,3.00305,1.71959,2.6605,2.13317,0.317899,0.774697,0.426786,2.78028,1.39163,3.00002,0.625477,1.17573,2.06013,1.18739,3.68818,1.4379,2.99312,0.277126,0.310985,2.47799,2.25909,3.01657,0.840507,5.82817,8.64637,3.23044,4.49951,3.05965,2.97422,1.17714,1.24412,2.05023,2.83833,3.02625,2.58644,4.47495,3.99852,3.24487,2.30685,1.97097,3.43374,0.566918,1.16794,1.98968,3.37848,8.90422,2.96298,0.95739,3.08826,5.45361,1.41053,2.36172,3.37019,1.83665,0.494514,2.11179,0.806877,2.01836,3.44559,1.50724,0.83825
0.915886,2.84022,1.85986,3.74069,0.372797,0.622659,0.447416,1.12979,0.771187,0.247185,0.106322,32.3048,1.6476,0.283617,0.71741,0.809763,0.338177,0.330875,1.26518,0.838595,11.5259,1.71572,0.77659,0.222716,0.874104,1.05072,0.951921,0.282,0.627563,0.844004,1.81874,1.67671,0.963596,0.17001,0.082842,0,0.966907,0.449557,1.0233,0.88332,0.824697,1.28656,2.32726,0.884601,0.288553,3.58697,0.445516,1.66601,2.19935,0.74122,1.53124,0.593433,0.209984,0.376133,0.989078,1.16936,0.63423,0.345556,0.974475,0.24134,0.681789,0.409754,1.02567,3.70306,1.32042,0.421233
0.719467,0.300315,1.24298,0.597313,0.08679,1.5522,2.10026,0.309754,0.434954,0.167795,0.135487,0.047098,1.52833,0.513499,0.252454,0.141576,0.254827,0.565694,0.158209,0.485514,0.91525,0.493953,0.10646,0.134639,0.379582,0.261964,1.45073,0.512779,1.29511,2.6438,2.82416,1.80368,0.567734,0.490583,0.389485,0.318625,0.452406,0.492014,0.467872,0.413623,1.32045,1.05628,1.00608,0.379434,0.357503,1.0078,0.185807,0.134982,0.408683,1.04405,1.63918,0.31237,0.170589,0.268141,0.728161,0.26629,0.600811,0.564561,0.327629,0.193499,0.322828,0.238999,0.536537,0.670916,0.539066,0.342091
0.13099,0.347515,0.256175,0.515664,0.670773,0.366161,0.502044,0.366806,0.095833,1.14235,1.23511,0.973082,0.072372,0.374094,0.544184,0.822654,0.382887,0.158692,0.481224,0.256699,0.513506,0.444859,0.365149,0.039094,0.137013,0.219397,0.211665,0.155372,0.19254,0.090108,0.137277,0.326029,0.283225,0.29873,0,0.14734,0.150308,0.22273,0.225605,0.185137,0.131477,0.171588,0.610472,1.03384,0.276159,0.413286,0.308194,0.986054,1.01235,0.448226,0.238491,0.282963,0.092844,0.117046,0.113656,0.270806,0.170599,0,0.435553,0.348403,0.365736,0.158986,0.887258,0.903803,0.378865,0.207605
3.35981,0.375782,6.04077,4.37336,0.982884,1.27878,1.48954,2.74758,2.11929,0.959856,0.975257,1.03354,4.8306,0.768066,4.42031,0.658163,0.300936,2.41497,1.32945,5.56461,2.65311,4.25354,0.540094,1.21682,4.88052,3.97399,6.38521,1.34832,5.66802,6.39516,1.92727,1.85669,2.69652,2.44757,1.89427,2.68525,0.552907,0.403214,3.56068,3.95482,4.58169,3.80605,5.95591,1.91237,2.19411,2.31086,1.49347,0.956293,1.23971,2.55719,3.7511,4.12529,0.910509,5.5844,6.83952,1.90409,2.3699,2.73642,0.821916,1.44,3.25897,0.79223,3.57057,9.7643,0.383841,0.119096
0.20187,0.236718,0.457789,0.868444,0.384213,0.274318,0.128237,0.139104,0.275431,0.099905,0.166955,0.254078,0.152329,0.155892,7.37914,1.43025,0.083924,0.203122,0.172327,0.381086,0.477048,0.253371,0.070154,0.010055,0.119327,0.457568,0.157131,0.069827,0.268068,0.71781,0.324208,1.23302,0.390481,0.35388,0.069693,0.064428,0.186602,0.113222,0.105614,0.118515,0.439138,0.765189,1.01175,0.472987,0.214973,0.676218,0.223465,0.332951,0.32487,0.368912,0.860425,0.237489,0.212248,0.09349,0.458946,0.055938,0.500109,0.269115,0.248322,0.080763,0.364318,0.079952,0.32979,0.636234,0.192022,0.11998
0.301944,0.341261,3.67007,6.07696,0.108378,0.326905,0.503157,0.780065,0.383403,0.152914,0.758071,0.613926,0.140635,0.22685,0.239869,0.167824,0.138769,0.101024,0.168572,1.19774,0.479225,0.350496,0.340675,0.143271,0.297651,0.446215,0.377636,0.101361,3.41184,3.75745,0.481494,1.47828,1.26269,0.970407,0.297145,0.268051,0.072968,0,0.21527,0.687488,0.929736,2.61193,1.2493,0.550586,0.594201,0.705508,0.243348,0.136009,0.930799,3.20242,8.80027,0.298663,0.274302,0.753591,0.632843,0.197043,0.167298,0.102073,0.114941,0.291809,0.381495,0.095418,0.220749,0.565275,0.190601,0.283103
0.160486,1.65168,0.189625,0.834352,0.179946,0.116921,0.068406,0.273413,0.366436,0.055891,0.021573,4.3467,0.04639,0.091997,0.461048,0.26606,0.109309,0.160963,0.237031,0.475847,2.45167,0.104787,0.128885,0,0.103944,0.156184,0.357949,0.042463,0.104064,0.131479,0.221933,0.48637,0.188307,0.125659,0.037319,0.044971,0.193534,0.4436,0.137905,0.079664,0.090352,0.721712,1.4582,0.74561,0.379816,1.35636,0.188663,0.483554,0.995262,0.16946,0.420657,0.132577,0.109244,0.095223,0.088928,0.283327,2.24927,0.356715,0.873503,0.230829,0.529517,0.132945,0.670607,2.08156,1.00751,0.797288
9.2456,0.79849,4.65377,3.91032,0.729953,0.683583,1.24706,0.464158,0.51047,0.775544,1.38214,0.589006,2.60572,0.336788,2.3127,0.794863,0.128687,0.119253,0.515468,2.86927,1.17152,1.75854,0.142704,1.25233,2.24092,1.96882,0.869917,0.28025,3.44309,8.2234,1.46046,2.50973,0.511406,0.70999,0.270833,0.262202,2.07217,1.80708,5.7872,5.64987,8.45119,5.13424,2.40584,0.801707,1.08919,2.54813,1.64329,5.16365,0.762446,2.90819,5.56653,2.87163,0.81628,0.678271,0.881445,0.292633,6.18895,0.991321,0.475682,2.61377,1.58198,0.833509,0.334654,0.900494,0.387353,0.161911
0.794434,2.80364,2.88552,2.48609,1.4968,1.04659,1.1606,1.56774,0.623219,1.0654,2.10064,0.565655,2.93514,0.845882,4.56054,1.61411,1.08723,0.529412,0.850494,1.99923,2.00495,4.07912,1.14567,1.00755,4.10977,2.77804,8.30734,1.79217,6.17612,8.00284,0.581551,1.27926,1.6376,2.89693,0.37378,0.431398,0.595212,0.714093,3.28697,3.17834,5.87578,4.15251,1.74822,1.53561,1.78823,2.17472,2.51115,3.10839,2.26099,2.14894,2.75248,1.45672,0.78182,4.53736,4.79443,0.793238,2.01431,1.98866,1.21004,1.15549,2.3133,1.61682,1.27424,1.6978,2.66994,1.69265
0.884768,0.589055,4.92721,7.8443,0.609955,0.752777,1.43813,1.26179,1.90903,0.706934,1.30173,1.04432,0.663564,0.242292,0.327958,0.27934,0.311905,0.473815,0.40741,1.82792,0.759457,0.75881,0.272311,0.214859,1.14513,1.40488,0.56417,0.236432,17.5663,24.3628,3.28141,13.8433,1.45384,3.33492,0.798135,2.13025,0.243389,0.220528,0.445265,0.494191,1.22727,4.47813,2.24936,1.8223,0.709763,6.70001,0.275205,0.287922,1.35352,6.48001,25.5587,0.790604,1.73237,0.741714,1.41653,0.703094,1.1167,0.362588,0.308291,0.443749,0.619672,0.274952,1.24195,1.6397,0.290217,0.204021
0.730558,4.73033,1.17995,2.21627,2.0503,0.813277,0.690872,0.364317,0.686253,1.21541,0.958371,6.11601,0.390961,0.504098,0.510529,0.780213,0.370023,0.500033,0.638783,1.62337,2.51127,1.52573,1.81156,0.573643,0.321264,0.635508,0.430313,0.349529,2.32539,4.81803,0.742718,3.25991,0.329495,0.574614,0.074985,0.706133,0.465461,0.755146,1.54064,1.31959,1.60068,1.28646,2.57284,1.52003,0.469895,2.58325,1.18519,1.93671,2.61093,0.696616,3.36174,0.356522,0.687081,0.467017,0.384605,1.00167,0.800245,0.509147,1.5482,0.676855,0.955099,0.620197,1.59718,1.43102,2.58161,1.56083
0.249715,0.671814,0.891304,1.30761,0.315987,1.01488,0.412935,0.401086,0.504517,0.258374,0.451468,0.149181,0.105813,0.110076,0.086443,0.02245,0.12207,0.094694,0.369249,0.325752,1.40523,0.252021,0.130475,0,0.435384,0.836083,0.326214,0.128011,1.50052,2.669,1.17637,3.98132,2.40226,1.74665,0.141668,0.104179,0.055666,0.097781,0.759015,0.080761,0.329194,1.54286,0.553819,0.372963,0.371383,0.356854,0.175085,0.147734,0.203676,0.696146,1.14582,0.890082,0.484371,0.736252,1.63873,0.073156,0.379233,0.173164,0.029229,0.560709,0.229497,0.065615,0.041992,0.521517,3.47333,1.49701
0.012742,0.439212,0,0.472735,0.08315,0.253613,0.072994,0,0.023824,0.020645,0.052409,0.486256,0.023537,0.153628,0,0.130574,0,0,0.022059,0.026297,0.183837,0.044679,0.049835,0,0,0.010986,0.038721,0.030404,0.055965,0.07678,0.047571,0.142234,0.118384,0.063921,0.030193,0,0.263064,0.112251,0.015368,0.011004,0.617011,0.072935,0.720937,0.276976,0.026684,0.298374,0.110935,0.450361,0.230011,0.027377,0,0.024534,0.020232,0,0.036873,0.269095,0.126305,0.031957,0.181719,0.040652,0.270092,0.087431,0.90536,0.539783,0.218953,0.165294
1.38673,0.192954,12.6111,15.3298,0.376121,1.23695,3.68703,0.834788,1.1491,0.768536,2.89705,0.655533,0.570992,0.103818,0.180691,0.132083,0.189488,0.23594,0.324915,1.74544,0.589037,0.088581,0.347373,0.03217,1.29666,1.14623,0.349598,0.115193,37.2706,78.1652,4.41122,15.1877,1.36874,6.92367,1.22846,3.54496,0.010064,0.009286,1.04179,0.437083,1.80307,15.2837,1.81575,3.32368,1.56243,22.0181,0.040422,0.154355,2.23955,12.6105,58.7396,0.740068,2.61508,1.47582,3.64842,0.360232,0.536962,0.263084,0.071326,0.358392,0.679297,0.130819,1.36136,1.50507,0.223145,0.045159
19.4171,4.76689,18.1486,14.6966,2.6269,4.5517,7.73261,7.35341,7.05712,2.99394,4.52949,2.71284,21.4443,4.65318,3.37816,1.88778,3.0511,11.0436,3.93608,17.1649,9.89084,13.9367,2.542,6.60722,16.7571,7.73608,9.81482,2.0277,20.0673,28.8224,7.02162,10.7597,10.312,10.9841,5.13548,4.3887,7.88186,3.5643,8.97367,8.71261,16.3378,14.7332,15.9004,6.75303,9.4123,11.0373,12.6877,8.25113,4.19637,11.835,20.9912,11.3466,3.11753,9.50689,13.078,6.34722,13.7313,16.9153,10.3809,10.2531,7.51773,3.61187,2.7174,7.4022,4.13913,3.82808
