"GSM1844105","GSM1844106","GSM1844107","GSM1844108","GSM1844109","GSM1844110","GSM1844111","GSM1844112","GSM1844113","GSM1844114","GSM1844115","GSM1844116","GSM1844117","GSM1844118","GSM1844119","GSM1844120","GSM1844121","GSM1844122","GSM1844123","GSM1844124","GSM1844125","GSM1844126","GSM1844127","GSM1844128","GSM1844129","GSM1844130","GSM1844131","GSM1844132","GSM1844133","GSM1844134","GSM1844135","GSM1844136","GSM1844137","GSM1844138","GSM1844139","GSM1844140","GSM1844141","GSM1844142","GSM1844143","GSM1844144","GSM1844145","GSM1844146","GSM1844147","GSM1844148","GSM1844149","GSM1844150","GSM1844151","GSM1844152","GSM1844153","GSM1844154","GSM1844155","GSM1844156","GSM1844157","GSM1844158","GSM1844159","GSM1844160","GSM1844161","GSM1844162","GSM1844163","GSM1844164","GSM1844165","GSM1844166","GSM1844167","GSM1844168","GSM1844169","GSM1844170","GSM1844171","GSM1844172","GSM1844173","GSM1844174","GSM1844175","GSM1844176","GSM1844177","GSM1844178","GSM1844179","GSM1844180","GSM1844181","GSM1844182","GSM1844183","GSM1844184","GSM1844185","GSM1844186","GSM1844187","GSM1844188","GSM1844189","GSM1844190","GSM1844191","GSM1844192","GSM1844193","GSM1844194","GSM1844195","GSM1844196","GSM1844197","GSM1844198","GSM1844199","GSM1844200","GSM1844201","GSM1844202","GSM1844203","GSM1844204","GSM1844205","GSM1844206","GSM1844207","GSM1844208","GSM1844209","GSM1844210","GSM1844211","GSM1844212","GSM1844213","GSM1844214","GSM1844215","GSM1844216","GSM1844217","GSM1844218","GSM1844219","GSM1844220","GSM1844221","GSM1844222","GSM1844223","GSM1844224","GSM1844225","GSM1844226","GSM1844227","GSM1844228","GSM1844229","GSM1844230","GSM1844231","GSM1844232","GSM1844233","GSM1844234","GSM1844235","GSM1844236","GSM1844237","GSM1844238","GSM1844239","GSM1844240","GSM1844241","GSM1844242","GSM1844243","GSM1844244","GSM1844245","GSM1844246","GSM1844247","GSM1844248","GSM1844249"
1.485,7.772,3.011,2.981,0.293,0.646,1.512,0.778,6.406,0.669,5.308,1.829,3.394,3.86,2.174,0.582,1.074,1.502,0.608,1.037,2.234,0.764,0.674,3.201,4.222,1.595,3.393,5.906,5.035,3.344,4.031,2.568,4.866,0.92,4.432,2.777,1.672,4.528,2.122,2.767,3.372,2.902,3.982,2.979,2.671,4.936,5.501,3.297,2.959,3.406,3.17,5.779,6.049,1.184,4.915,2.67,0.48,2.529,1.048,5.116,1.422,5.545,5.141,2.272,5.313,5.843,0.815,3.254,3.975,1.27,1.106,4.217,1.73,4.536,4.129,2.177,6.791,6.988,3.828,0.629,3.694,7.708,1.649,6.897,2.722,3.665,1.711,2.553,4.591,7.276,4.351,1.712,1.232,4.548,3.983,4.788,3.196,5.24,0.967,5.623,0.412,5.208,3.09,0.661,1.157,6.578,2.489,0.414,4.172,5.199,1.998,5.512,5.756,0.947,4.277,5.843,0.871,5.024,5.172,3.245,5.132,1.531,4.174,7.232,2.776,3.448,3.901,5.289,3.922,2.152,4.065,3.065,1.297,4.861,4.061,1.673,0.488,1.294,1.527,4.508,0.476,1.416,0.635,5.208,0.412
2.269,2.854,2.621,2.136,1.2,2.151,4.23,2.76,1.27,4.024,1.973,2.361,2.881,2.056,3.075,2.436,1.888,2.71,3.227,2.898,2.461,1.672,4.265,4.212,2.068,1.981,2.473,2.615,2.916,2.787,3.607,1.91,1.804,4.076,2.392,2.981,2.681,1.953,4.141,1.651,2.84,3.903,3.188,2.094,3.319,2.012,1.778,3.859,2.066,1.565,1.903,1.855,1.22,3.462,4.242,2.566,4.827,2.611,2.95,4.317,2.056,2.228,1.749,1.861,1.926,1.304,3.305,1.976,1.819,2.277,2.088,1.318,1.26,1.604,1.18,2.139,1.447,1.73,2.368,1.632,1.496,1.132,4.423,1.757,1.355,1.767,2.219,1.804,2.675,1.397,2.071,2.03,3.604,2.648,1.809,1.29,2.171,1.764,2.303,2.338,2.178,2.686,3.932,3.398,4.33,2.212,2.374,3.62,2.254,3.096,3.212,2.582,3.305,4.015,4.582,1.269,5.034,1.547,3.258,1.848,2.126,2.932,1.492,2.238,3.127,4.403,3.615,5.858,3.883,2.678,2.882,5.561,3.741,3.294,2.912,4.391,3.279,6.182,5.688,3.669,3.853,4.012,4.038,5.639,3.17
1.288,4.874,5.587,3.853,1.353,2.098,3.261,0.718,4.334,1.014,4.13,2.352,4.577,3.881,4.348,2.6,2.083,3.839,2.361,2.442,4.381,2.001,2.916,2.064,4.288,1.423,3.092,4.399,3.231,3.91,4.004,3.929,2.77,2.851,3.831,4.548,3.505,3.804,3.689,4.264,3.085,2.009,2.557,4.486,3.21,4.897,4.69,3.782,3.197,3.005,3.374,4.493,4.7,2.475,4.315,2.271,3.155,3.636,2.743,2.758,3.166,5.417,4.188,4.179,5.395,4.947,2.261,3.888,4.39,3.59,1.788,4.097,2.054,4.28,4.413,3.742,3.988,4.909,3.206,1.568,3.73,5.81,4.265,5.169,3.193,3.697,3.854,3.412,3.74,6.559,5.356,2.832,3.492,4.842,3.852,5.279,4.672,4.715,1.601,5.55,2.501,4.156,3.994,2.013,2.528,5.693,4.562,1.885,5.276,4.65,2.601,3.967,4.561,2.098,3.785,5.753,2.136,5.524,3.661,3.649,3.901,3.803,4.916,5.471,2.46,3.091,3.015,2.366,3.606,3.466,4.289,3.503,2.852,3.743,4.246,3.105,4.908,2.961,4.833,5.747,4.612,6.305,2.944,3.986,2.241
1.515,2.358,3.239,3.162,2.224,1.913,3.419,1.011,2.368,5.054,2.398,3.311,5.344,2.979,4.668,4.528,4.974,7.138,6.274,4.341,2.85,2.942,4.795,1.833,3.775,1.035,1.66,4.133,3.806,5.279,3.797,4.448,2.123,6.439,3.339,7.394,6.188,1.059,5.437,2.375,1.337,0.928,0.917,2.795,5.031,2.421,4.107,5.86,2.019,2.788,4.073,2.589,2.879,5.204,3.482,0.788,6.174,3.219,3.606,1.916,4.003,2.344,4.658,4.652,5.856,4.948,3.934,4.579,3.176,5.78,4.664,3.698,4.445,3.917,3.535,3.751,2.41,1.84,4.644,3.923,3.001,1.964,7.023,1.684,2.22,2.002,5.096,3.202,2.991,3.493,3.973,2.868,5.811,4.629,3.348,3.498,4.528,3.089,4.585,2.265,5.913,1.386,3.815,1.512,3.283,1.552,4.745,5.632,4.931,4.902,4.929,4.616,5.631,2.265,1.028,2.662,3.185,4.476,1.098,3.075,2.893,3.529,3.436,1.955,2.707,1.669,1.431,0.998,1.53,3.606,4.904,1.397,3.707,1.318,4.738,3.681,6.623,3.078,3.327,4.632,5.771,5.257,2.295,0.983,5.675
0.949,2.67,1.706,1.292,0.621,1.774,1.283,2.932,2.791,0.826,1.121,0.369,1.756,0.675,1.514,1.511,1.833,1.925,1.239,2.173,1.656,1.292,0.945,0.85,3.002,6.776,1.907,2.945,5.19,2.657,2.062,1.67,1.934,1.798,2.108,2.874,1.492,2.121,1.739,1.883,1.235,1.047,1.234,1.942,1.573,2.494,2.998,2.779,1.682,1.511,2.027,2.899,2.038,1.394,1.933,1.087,0.7,2.019,1.742,1.624,1.474,3.565,2.93,2.523,4.088,3.813,1.2,2.833,3.879,1.946,1.572,2.157,1.28,2.416,2.44,1.223,0.866,3.431,1.568,1.396,2.347,3.509,1.993,2.471,1.513,2.66,2.774,2.238,2.255,4.475,2.724,1.119,1.738,2.6,2.135,3.437,2.084,2.443,0.957,3.802,1.814,2.188,2.199,1.766,1.288,3.106,1.894,1.154,2.685,2.274,2.698,2.116,1.466,0.763,1.669,2.767,1.49,2.567,2.581,1.795,2.723,2.149,1.812,3.697,1.859,1.756,1.849,1.297,1.958,2.209,1.446,1.864,2.088,2.987,2.759,1.06,1.549,1.166,2.222,2.13,0.894,1.112,2.674,1.239,2.687
2.085,1.384,2.506,2.594,1.907,2.509,3.214,1.888,1.78,3.889,1.861,2.074,3.518,1.653,3.615,3.748,1.547,5.195,4.691,3.397,2.675,1.714,4.064,1.614,2.331,1.626,2.483,2.224,1.833,4.31,2.437,2.682,1.483,4.853,1.981,4.845,5.37,1.225,4.129,1.7,2.012,2.787,2.791,1.206,4.08,1.308,1.811,3.95,1.414,1.715,1.898,1.579,1.086,2.365,2.418,1.65,5.735,1.642,2.031,1.934,2.121,0.921,2.033,2.247,4.393,2.369,3.935,3.56,2.017,4.602,3.747,2.112,2.505,2.776,1.854,1.835,1.803,1.458,5.625,2.082,3.292,1.06,8.607,1.187,1.635,1.337,2.168,2.185,1.788,1.179,1.425,1.031,3.812,4.235,1.478,1.387,1.7,1.172,3.632,1.535,4.043,2.05,3.643,1.339,3.858,0.903,2.949,3.032,2.506,3.6,2.891,1.773,4.913,2.773,1.614,1.054,2.769,1.755,1.468,1.574,1.338,2.926,1.801,0.998,2.61,1.472,1.748,4.567,1.823,1.452,2.725,2.842,4.974,2.024,2.906,3.305,4.17,2.696,2.387,2.393,5.981,4.294,2.149,1.396,3.093
2.043,1.781,2.181,1.858,1.804,1.35,1.877,2,2.26,1.301,2.305,1.855,1.714,1.439,1.43,1.211,1.712,1.716,1.796,1.403,2.207,2.058,1.396,1.785,1.835,1.336,1.965,2.178,1.902,1.637,2.323,1.556,1.876,1.505,1.62,2.118,1.646,1.856,1.682,2.343,2.362,1.443,1.461,2.579,1.308,1.494,1.968,1.617,2.192,1.735,1.861,2.242,2.401,1.691,1.907,2.758,1.716,2.365,1.569,1.651,1.558,2.252,1.858,1.774,1.944,1.947,1.75,1.72,1.755,1.591,0.977,1.799,1.12,2.204,1.885,1.628,1.485,1.626,2.206,1.12,1.656,2.388,1.825,1.825,2.555,1.328,1.146,1.479,1.996,2.37,2.393,2.49,1.555,1.831,1.218,2.266,2.171,1.938,1.261,1.554,1.273,1.701,2.61,1.604,2.211,2.937,1.968,2.086,2.209,2.282,1.6,2.144,2.46,1.844,2.783,2.467,1.875,2.547,2.425,2.53,2.565,1.826,2.363,2.598,1.574,2.38,1.947,1.077,1.767,1.919,2.222,1.538,2.046,2.622,1.629,2.228,2.232,1.487,1.632,2.019,1.758,1.674,1.716,1.856,1.406
1.785,1.913,1.669,1.45,1.987,1.791,2.02,1.614,1.908,2.017,2.077,2.045,1.963,1.714,2.104,2.17,1.906,2.724,2.527,2.117,1.739,1.789,1.952,2.069,2.014,1.729,2.057,2.038,1.868,1.825,1.72,1.91,1.942,2.188,1.57,3.073,2.081,1.726,1.852,1.544,1.614,2.481,1.601,1.833,2.344,1.958,1.526,1.834,1.736,1.919,1.759,1.884,1.68,4.223,1.89,1.278,3.151,1.538,1.837,1.887,1.96,2.371,1.319,1.733,1.503,1.646,1.58,1.559,1.395,1.528,1.44,1.187,1.548,1.458,1.266,2.131,1.933,1.038,2.738,1.615,1.269,1.157,2.598,1.335,1.616,1.055,1.502,1.464,1.538,1.542,1.457,1.28,1.685,1.745,1.675,1.5,1.534,1.489,1.979,1.763,1.775,1.546,2.295,1.588,2.106,1.176,1.554,2.575,1.765,2.26,2.014,1.747,2.334,1.921,1.614,1.698,2.41,1.841,1.522,1.771,1.611,1.789,1.943,1.484,1.567,1.756,1.311,3.586,1.856,1.275,1.79,3.045,2.155,1.318,1.773,2.532,3.327,1.85,1.998,1.784,2.43,2.373,1.758,1.893,1.448
1.078,1.398,1.834,2.24,0.84,0.94,0.695,0.628,3.4,1.542,2.665,0.789,1.459,2.15,1.448,1.033,1.781,1.528,0.868,1.178,2.187,0.836,0.49,1.025,3.346,1.527,1.353,1.879,0.938,1.157,1.923,1.539,3.174,1.131,2.59,1.151,1.067,1.4,1.786,2.534,3.121,2.071,1.551,4.026,1.337,0.768,2.61,1.089,2.611,1.685,2.341,2.465,3.796,1.443,1.583,1.323,2.36,1.663,1.406,1.256,1.452,2.282,1.547,1.917,3.486,2.132,0.883,1.192,1.704,1.724,0.968,2.092,1.001,2.074,2.635,1.445,2.315,1.899,1.171,0.808,1.719,2.42,1.877,1.441,1.506,1.131,1.284,3.074,3.171,3.827,3.648,1.101,1.877,2.05,1.966,2.5,2.872,2.024,0.722,3.952,1.027,2.281,2.792,1.473,1.035,1.828,2.27,1.611,2.36,1.18,1.348,1.212,1.27,0.726,2.12,2.277,0.56,2.048,2.545,2.405,2.584,1.314,1.194,4.521,1.823,1.184,0.939,0.954,3.188,2.151,1.31,0.796,1.458,2.314,2.04,0.814,0.923,0.791,1.32,1.481,1.126,0.782,1.156,2.213,1.103
2.148,1.809,3.568,1.945,2.757,3.439,2.685,0.652,1.519,2.882,0.687,1.118,2.824,2.011,3.055,3.331,2.47,4.336,3.957,3.016,2.454,1.318,3.213,0.594,2.021,1.448,1.687,2.192,2.259,3.276,2.128,2.619,0.743,2.812,1.159,3.603,3.73,0.576,3.76,1.319,0.91,0.344,0.769,1.191,3.168,1.626,1.833,3.009,0.867,1.263,2.208,1.107,1.098,1.406,3.307,0.709,4.55,2.033,2.528,0.633,2.515,1.752,3.293,2.861,3.308,3.106,2.541,3.029,2.123,3.794,2.962,2.796,2.068,2.283,2.386,2.506,0.977,1.579,3.307,2.464,2.083,2.087,4.551,1.43,1.171,1.337,3.796,1.492,1.156,1.458,1.892,0.824,3.771,3.663,2.322,2.347,2.181,1.913,1.371,1.784,3.198,1.41,3.417,1.431,5.494,1.023,2.483,2.997,2.912,3.231,3.361,2.899,2.71,2.777,0.958,2.065,2.704,2.152,1.412,1.793,1.936,2.442,2.426,1.077,2.409,1.189,1.295,0.794,1.418,2.437,3.526,4.232,3.998,0.613,2.833,2.514,4.824,1.434,1.456,4.301,5.26,5.602,2.822,1.139,3.536
