"SRR5163411","SRR5163412","SRR5163414","SRR5163416","SRR5163418","SRR5163420","SRR5163422","SRR5163423","SRR5163424","SRR5163426","SRR5163429","SRR5163430","SRR5163433","SRR5163434","SRR5163437","SRR5163438","SRR5163446","SRR5163448","SRR5163450","SRR5163452","SRR5163454","SRR5163456","SRR5163458","SRR5163460","SRR5163462","SRR5163464","SRR5163466","SRR5163468","SRR5163471","SRR5163472","SRR5163474","SRR5163475","SRR5163478","SRR5163480","SRR5163482","SRR5163484","SRR5163486","SRR5163488","SRR5163490","SRR5163492","SRR5163494","SRR5163496","SRR5163498","SRR5163500","SRR5163502","SRR5163504","SRR5163506","SRR5163508","SRR5163510","SRR5163512","SRR5163514","SRR5163516","SRR5163518","SRR5163520","SRR5163522","SRR5163524","SRR5163526","SRR5163528","SRR5163530","SRR5163532","SRR5163534","SRR5163536","SRR5163538","SRR5163540","SRR5163542","SRR5163550","SRR5163552","SRR5163554","SRR5163556","SRR5163558","SRR5163560","SRR7963375","SRR7963376","SRR7963377","SRR7963378","SRR7963379","SRR7963380","SRR7963381","SRR7963382","SRR7963383","SRR7963384","SRR7963385","SRR7963386","SRR7963387","SRR7963388","SRR7963389","SRR7963390","SRR7963391","SRR7963392","SRR7963393","SRR7963394","SRR7963395","SRR7963396","SRR7963397","SRR7963398","SRR7963399","SRR7963400","SRR7963401","SRR7963402","SRR7963403","SRR7963404","SRR7963405","SRR7963406","SRR7963407","SRR7963408","SRR7963409","SRR7963410","SRR7963411","SRR7963412","SRR7963413","SRR7963414","SRR7963415","SRR7963416","SRR7963417","SRR7963418","SRR7963419","SRR7963420","SRR7963421","SRR7963422","SRR7963423","SRR7963424","SRR7963425","SRR7963426","SRR7963427","SRR7963428","SRR7963429","SRR7963430","SRR7963431"
15.19079,10.504009,0,13.647896,0.79215,17.568124,4.600367,5.619207,7.995867,107.374254,22.85411,21.171309,0,0,2.823678,1.256827,18.448417,145.766848,98.88484,14.784258,26.01454,52.321988,71.895293,21.63776,12.556377,76.509214,10.034037,21.626809,66.297803,1.584042,4.691476,14.572878,56.626489,107.393972,33.677369,2.640973,41.197416,64.372685,0,42.829495,29.032446,24.540518,98.211279,215.932522,51.170551,32.271632,29.88273,11.283916,50.047908,23.709888,66.740275,137.108741,190.37036,79.72797,18.782152,46.571968,93.070617,31.056834,0.836856,79.993048,19.234736,0.834269,18.297831,12.34238,38.927613,105.559947,50.1854,42.24752,46.167014,50.185751,15.919189,0,89.344846,153.819564,178.886925,70.204457,4.442818,73.050211,19.411485,0,38.04504,32.571809,2.311181,22.260823,32.401771,106.090259,25.692532,0,27.085615,36.439293,150.962481,1.95897,72.091884,31.305561,66.232075,47.639844,36.145618,82.402883,117.075104,3.003974,0.7926,117.686033,59.837127,155.653755,52.55918,59.784919,17.388738,84.862148,215.470451,115.335275,0.183258,21.828533,56.216703,56.955017,110.106179,109.74878,42.856391,108.883959,5.585394,91.064149,38.572537,78.58824,3.650307,21.117869,1.212263,51.916336,215.078493,0
1.137507,1.057655,0.986666,0,1.341731,15.217747,41.593975,43.897628,0,0,0.678703,1.001389,0.436429,0.522996,2.877563,2.940715,12.04498,13.332997,18.810691,10.218197,14.764526,14.422943,0,0.039047,23.499342,0,3.078832,9.399151,3.291115,18.924411,7.866999,28.297318,1.40945,4.757156,4.227027,0.820365,0.333559,0.647927,0,11.218624,0.440741,5.263953,2.205867,19.819257,0,31.991786,33.581901,14.273204,11.024283,0.427601,0,0,1.330526,2.286673,10.296418,1.48763,9.315989,3.042877,2.34184,1.259075,2.709052,0.718472,7.808158,5.279745,5.400992,0.193907,1.549846,4.180834,4.402319,5.777049,0,2.193511,1.512563,0.375328,6.612786,4.976782,6.3889,7.468665,25.655014,3.672706,16.697856,1.827301,12.383632,14.666911,0.857731,0.116061,13.765165,0.937996,1.667493,4.065492,0.116687,15.625422,0.224621,1.416752,7.073777,6.824851,20.433173,7.823719,2.11729,4.200602,75.123555,2.667789,65.319174,8.944495,3.752073,11.540241,21.444299,11.759204,0,1.470217,5.191817,7.756528,1.881809,3.061831,0.964893,3.132108,15.801488,0.601219,32.907492,1.459381,3.611743,2.43114,1.772014,6.501258,11.985325,0.684123,2.887041,26.911523
38.59024,36.28379,37.348829,1.156834,15.841357,30.661959,3.557533,3.102959,3.767539,10.093587,7.090441,12.964095,15.242896,15.059075,7.699163,8.293452,14.361284,108.476059,40.054455,10.403645,22.382511,47.739187,60.01246,16.89167,8.452815,47.031903,50.034717,39.998222,99.460835,82.282457,4.877548,36.35393,35.014645,57.861903,27.682684,10.615015,2.109871,23.250673,15.272737,10.040063,13.82603,11.711345,33.146968,6.768195,39.235143,26.19446,28.670716,24.676527,27.550706,46.53605,13.192142,23.774781,3.463973,32.519294,10.699518,26.710812,23.553848,23.25854,3.898903,11.405672,30.159801,1.108714,58.729109,26.938461,74.762468,2.078165,5.055077,30.775078,30.020819,13.61553,8.934329,24.761734,17.694718,0.857872,20.686746,17.452265,6.973818,25.872846,16.600388,23.970989,16.752335,66.993921,17.023526,13.315413,15.095526,45.534027,18.40512,4.731143,34.144034,23.477281,20.808423,16.176644,6.828137,17.554055,62.103888,37.585685,14.61058,31.298547,36.825514,33.024183,16.859084,32.377852,22.962183,57.01613,21.305425,25.706008,14.42024,11.053387,28.086887,64.979901,15.728254,4.709358,29.37286,19.247135,31.221339,20.600002,20.422101,10.908437,15.542009,11.505029,9.651151,21.312646,25.098829,14.921491,7.820254,17.101729,31.418208,6.823124
0.787161,1.344018,15.186666,0.900432,47.593596,13.594216,102.211878,107.977873,22.635816,25.440357,15.230525,14.880916,16.289572,17.442348,47.425593,45.986997,8.383338,105.457893,0.450061,92.929177,26.152437,37.906272,47.379961,2.016916,20.904501,6.653387,65.699977,117.672164,52.037468,13.384728,53.679828,118.572858,3.64145,10.886746,9.899013,13.568788,7.166252,2.006068,19.546964,16.336788,11.011184,11.647144,9.350609,11.671433,4.457034,39.945063,82.254949,42.043953,62.432729,0.778772,3.566393,8.23128,43.917938,24.964274,53.039146,42.054888,49.453119,18.998726,108.958716,3.831331,22.14357,0.391698,36.378468,59.158526,79.246904,4.346785,4.287983,25.105715,32.086084,5.750915,0.850608,5.6472,18.434711,0.948327,29.701328,21.636824,85.600578,35.499913,55.324918,116.159591,42.285796,22.679585,72.462404,53.965719,7.481183,13.493384,79.862621,26.238092,9.65201,0.752894,6.430349,31.580435,14.476412,5.059827,22.939843,6.147184,36.507233,72.511516,8.098687,116.484768,277.696655,10.78265,311.977152,23.716541,17.63099,8.599441,28.368952,40.420252,3.404878,9.60509,113.323265,8.548893,14.582246,40.85762,9.873349,6.536565,22.532737,9.05432,100.346369,7.95104,1.862293,2.048726,45.44315,7.985834,36.692368,6.350375,5.645662,69.845591
0.779826,0.790092,0,0,2.022109,0,5.422701,6.864055,15.919129,7.987714,0.491487,0.313267,0.582755,0.274251,10.112462,10.572216,5.542905,34.975226,9.188549,35.328098,1.181539,12.256549,17.234554,8.080326,5.729354,10.954375,33.2981,62.491816,36.269327,4.209442,14.784477,38.772533,7.343109,31.090579,31.859926,0.081972,24.355939,10.488612,0,7.860607,1.251527,11.731429,5.245134,9.970035,6.36287,5.471171,1.308701,8.86765,14.211308,7.275511,3.805353,5.941,0.862866,5.183513,25.57065,14.962528,36.435294,12.301961,0,18.92207,17.52384,1.292262,2.012518,1.283917,0.067012,13.808414,7.458283,11.965997,26.53992,10.175878,0,2.934542,20.309351,26.282408,40.431809,44.207573,3.68146,40.716121,5.660109,7.786062,7.759073,15.538754,4.612321,6.33848,10.427374,64.217023,10.262006,0.241395,6.475931,1.500131,7.028361,2.551482,31.038593,3.575021,9.921581,4.342672,34.318031,7.726421,12.905659,4.025323,6.352634,8.789164,20.99665,6.174247,9.828645,10.952625,11.632766,4.221874,23.712914,21.806234,7.449102,2.57428,10.190856,4.996657,14.33952,23.435984,19.973421,15.227735,9.707477,15.678752,9.611264,17.141948,3.203768,9.621508,0.115193,19.320311,25.42077,0.589905
0,0,0,0,0,16.706448,1.956312,3.020212,0,0,0,0,0,0,0.69527,0.268065,0,0,0,0,0,0.13266,7.052195,0,0.314706,0,0,0,0,0,0,7.909833,0,0.736296,0,0,0,0,0,0,0,0,0,0,0,0,2.646936,0,0.189489,0,0,0,0,0,2.522161,0,0,0,0,0,0,0,4.881555,0,0,0,0,0,0,0,0,0,1.837869,0,0,1.77768,0,0,0,0,0,0.157436,0,0.283147,0,0,0,0,0.519278,0,0,0,0,0,0,0,0,0,0,0,4.104488,0,0.182045,0,0.547518,0.339082,0,1.934922,0,0,0.126891,0,0,0,0,0,1.564897,0,19.619206,0,0,1.54101,2.075408,0.136388,5.964633,0,0.096134,0.08019
8.697365,9.088446,18.425755,6.313238,6.995238,45.363346,10.055021,10.678055,7.879604,3.4228,14.718597,13.583382,14.507269,14.308262,1.323329,1.230669,16.129244,9.773081,31.349715,5.535734,9.018241,19.551932,5.983483,11.615844,12.662839,8.930397,7.623712,15.421814,15.367032,28.830208,31.851913,34.580488,11.39247,18.507254,19.216731,7.294753,2.024119,10.026058,3.357824,6.044156,8.71281,3.406294,7.01875,12.88175,4.272271,6.770454,4.12505,10.27235,7.227103,8.337113,5.202372,14.97395,12.311933,14.682065,19.867458,6.068919,10.462464,7.909445,5.265486,7.698517,6.682902,7.281745,4.795277,10.641396,16.330508,17.797356,15.661035,18.435184,8.782515,6.861425,29.374363,15.723712,7.044151,8.528171,9.415809,13.068574,3.876436,21.143718,6.373878,8.620409,12.83108,10.481346,15.415727,4.017315,9.085124,8.089833,3.951583,5.125134,13.381648,18.384789,16.398291,5.140802,8.752682,10.979251,17.145815,40.937691,11.611906,5.255693,25.755243,5.944938,5.371167,13.165287,13.273683,10.7275,12.74364,16.011456,4.159029,8.391259,17.166929,8.191575,10.688942,4.697711,4.505731,20.314999,8.482155,14.079107,7.396199,14.172934,8.4797,11.949983,5.537387,15.983833,14.535092,17.378667,7.279564,16.074743,15.72428,12.259519
7.332803,7.20098,10.484717,0.339915,4.143641,7.979428,21.586346,23.419924,5.097592,0.030268,8.554764,9.384295,5.150715,4.490295,24.864546,24.348786,6.387078,4.696576,15.874381,35.553541,7.712121,12.347275,4.918556,10.60395,11.450737,1.663373,26.144409,7.828475,4.727065,4.413639,14.023515,10.939747,5.418557,4.217221,5.149308,3.638558,0.878051,0.379644,7.478695,6.169924,2.778037,5.609935,5.98411,2.262962,1.451913,2.098052,6.368646,8.819918,9.466222,0.636033,3.142951,1.418814,4.959883,1.667805,6.248418,2.677465,3.555851,6.300602,18.29128,4.963082,6.517478,2.137275,18.646042,8.448303,5.813292,10.991581,0.857047,5.700626,7.420438,1.628387,0,2.376138,2.438293,2.782222,20.984271,4.810354,3.455249,3.332893,4.940873,15.76686,16.252177,7.434669,10.250606,2.913609,5.831106,4.247764,16.060525,2.356447,8.217543,2.589042,8.064538,7.510739,2.823251,6.725362,8.30718,3.40493,5.550663,8.078958,2.818404,16.921274,14.015803,5.026221,32.823626,14.526293,5.966904,10.897531,9.856581,7.395957,4.775312,4.365955,7.427728,4.542529,4.702358,3.104767,4.264658,4.498241,2.265152,1.842756,33.456864,3.944596,0.694028,2.575047,4.025568,6.203014,25.758525,5.280904,4.058571,13.56389
57.181227,57.113394,62.886168,16.100432,2.550415,2.110396,5.930764,5.669975,6.372201,35.504649,8.896375,9.402925,0.897378,1.822431,5.455212,5.494689,129.827968,79.895417,204.152519,31.200583,0.747761,72.620338,13.834925,6.097842,1.123433,31.142932,7.830695,97.905894,42.775851,34.933092,19.34277,25.642854,58.557099,29.349165,31.714794,7.317113,11.733476,9.239343,19.677064,27.214392,37.077626,52.92583,27.365443,39.101362,9.728393,56.750498,24.238331,16.658537,19.624541,15.220524,54.082606,150.675255,40.700496,34.698392,62.186947,26.216189,34.385876,80.448746,22.878664,56.597409,36.759764,2.593153,30.657535,26.495372,59.276945,28.728366,15.122634,15.776124,4.509513,1.126983,9.164361,0.032604,49.875106,4.243596,22.742115,28.603901,9.0827,28.470069,45.292435,36.391242,5.410889,179.447608,15.428937,6.079819,25.53536,28.65963,47.552464,2.807105,27.765049,2.843482,7.713512,11.056633,52.375892,32.926438,69.399121,200.367193,11.416173,28.255776,60.412512,30.759148,11.622759,42.979192,19.473762,27.139146,77.651583,24.310288,45.246515,4.680669,26.763015,70.27856,2.056481,8.303863,40.739567,102.068174,9.87189,25.046379,11.809839,39.318401,5.212077,13.998581,10.528545,70.928803,77.115264,33.942272,3.111533,34.0821,54.970061,19.104129
3.746706,3.096816,13.402841,0.672589,35.766062,19.616037,17.28299,17.107895,0.074772,0.117845,7.352114,5.805955,1.034839,0.372452,70.047782,67.503565,5.515325,29.051062,1.363655,21.403431,11.144096,11.256208,1.264028,2.121404,19.498605,2.259048,11.948859,46.853526,23.697096,8.09503,9.13087,9.679781,35.165181,35.98624,6.470017,0,4.94829,1.593811,0,4.863648,9.603313,10.739635,5.401365,9.507867,0.78027,8.458344,3.846672,5.116994,24.252555,5.168477,4.262609,3.308149,21.808643,3.056777,10.522792,9.12063,16.141922,10.529826,20.391717,1.604155,5.559773,0.098304,25.738968,25.284389,21.361733,4.553643,8.846814,9.196516,3.631561,0.450287,0.620581,0.054547,2.297477,0.056479,4.369505,18.438803,15.940451,13.327825,2.92329,14.354761,7.738978,6.476942,14.849554,16.700258,1.153239,11.811478,34.428882,16.80811,3.39647,2.652825,2.533848,36.859276,9.389391,3.389691,13.302225,1.429504,7.324787,8.523457,3.454984,14.969861,33.569389,5.855712,12.701912,14.154838,12.085733,12.25034,8.732227,8.412673,3.825675,2.336797,8.621734,0.68752,4.905322,10.910952,3.502596,3.15704,6.578067,3.262868,28.162003,9.414984,1.396809,3.48904,5.91737,7.405421,9.822032,7.469876,5.303231,17.053242
