"SA408414","SA408530","SA408570","SA408758","SA408867","SA409775","SA410103","SA410118","SA410263","SA410311","SA410566","SA410742","SA410750","SA410758","SA410763","SA410859","SA410883","SA410899","SA411189","SA411209","SA411241","SA411305","SA411397","SA411406","SA411578","SA411721","SA411745","SA411769","SA411833","SA411923","SA412003","SA412076","SA518603","SA518615","SA518633","SA518665","SA518689","SA518695","SA518704","SA518712","SA518716","SA518724","SA518750","SA518765","SA518806","SA518817","SA518854","SA518868","SA518878","SA528676","SA528677","SA528679","SA528687","SA528695","SA528711","SA528755","SA528761","SA528766","SA528767","SA528769","SA528771"
42.1,12.39,2.27,1.52,2.59,22.62,4.07,12,44.45,10.05,1.33,2.52,15.11,1.07,3.67,5.61,12.01,14.73,26.71,15.9,1.28,10.79,20.78,2.33,2.34,11.3,16.35,4.7,1.35,4.74,21.89,10.72,25.62,3.15,2.03,7.62,0.4,2.83,5.25,21.99,2.43,1.38,0.08,3.36,27.13,3.89,6.36,4.66,8.3,0.67,0.73,22.37,17.53,6.84,3.84,1.89,5.18,2.09,1.34,0.14,0.16
0.33,0.99,0.54,4.24,0.15,0.61,3.45,0.49,4.6,1.23,4.57,1.56,2.59,8.35,5.85,6.49,2.56,1,1.09,8.22,2.55,0.57,1.1,1.46,5.57,2.05,2.57,0.24,3.08,2.23,1.17,0.21,0.95,8.85,0.39,3.42,3.72,1.36,2.83,0.94,5.05,0.28,9.75,12.74,0.07,0.49,12.77,8.62,1.57,0,0.09,0.14,9.9,0.83,2.37,1.93,0.92,0.42,5.28,0.81,0.35
20.86,4.36,3.23,6.83,14.33,10.51,6.23,5.72,10.05,14.17,3.97,4.76,17.61,4.19,6.57,5.67,6.14,2.34,7.57,10.37,4.37,5.49,7.86,4.46,3.97,4.41,9.27,7.77,3.5,4.01,8.22,10.72,8.11,7.59,2.67,5.03,6.71,5.54,5.76,10.97,6.99,3.29,3.33,4.64,10.52,4.22,6.31,9,11.88,1.22,0.78,12.88,13.11,3.97,3.43,4.64,6.32,2.02,12.14,0.45,1.36
2.03,1.94,1.46,9.05,0.89,1.08,8.78,0.62,14.13,2.11,5.04,3.24,3.28,3.41,7.14,1.9,4.94,1.41,0.9,5.18,6.24,1.15,1.3,1.18,2.34,4.72,5.73,1.74,0.61,0.93,1.17,0.2,6.08,24.91,0.67,6.82,17.69,3.41,4.81,3.27,16.46,0.32,22.01,10.59,0.51,0.72,8.5,2.07,3.26,5.55,0.13,0.06,5.39,0.61,2.43,1.63,1.8,0.69,2.77,0.57,0.16
4.39,0.78,0.85,0.73,0.79,2.49,1.64,1.46,6.1,2.37,6.47,1.22,1.86,3.33,1.22,3.84,1.64,1.62,5.04,1.51,0.86,1.78,8.69,1.42,0.97,1.34,0.87,2.46,0.27,2.68,2.94,3.77,3.31,1,0.75,1.32,1.83,0.42,1.03,1.64,1.13,0.61,1.74,4.82,3.27,0.5,0.9,4.98,1.34,14.98,2.56,8.05,2.16,1.03,0.68,6.53,0.95,1.85,3.92,2.55,2.7
1.16,0.07,0.12,0.16,0.03,0.08,1.84,0.04,0.67,0.41,0.24,0.04,0.23,0.35,1.44,0.07,0.25,0.13,0.91,1.19,0.18,1.31,0.21,0.71,0.27,0.43,0.08,0.12,0.22,0.07,0.13,0.03,0.33,0.68,0.16,0.24,0.76,0.02,0.16,0.03,0.43,0.09,0.55,8.64,0.13,0.18,1.32,0.15,0.18,1.75,0.49,0.43,0.7,0.06,0.03,0.27,0.04,0.27,4.69,0.45,0.17
7.15,6.7,5.64,9.93,10.28,18.91,4.9,7.84,7.84,10.44,5.66,10.56,8.33,2.95,5.2,7.89,6.42,8.95,7.96,5.08,7.85,6.84,4.51,5.08,7.53,9.67,4.99,9.36,5.06,11.51,10.17,12.31,7.25,11.76,5.61,8.32,7.33,6.88,11,14.25,5.63,8.01,14.72,8.02,20.22,10.13,8.87,13.02,17.71,0.19,52.91,16.37,12.8,13.16,10.61,8.35,10.85,17.46,25.41,8.3,34.44
4,2.31,1.67,6.51,2.52,1.88,3.96,2.34,10.48,3.41,2.44,3.36,4.74,3.73,5.68,5.24,3.64,1.83,5.01,9.27,7.53,1.25,3.7,1.95,10.34,2.6,3.84,1.64,1.31,3.3,3.14,0.93,4.25,7.31,2.39,4.15,6.34,2.6,3.39,4.23,5.17,0.72,17.51,11.21,2.96,1.65,10.9,7.7,4.18,0.04,1.53,2.27,7.63,3.42,2.63,3.97,2.35,2.71,9.01,1.22,0.8
55.9,4.78,2.71,6.65,2.81,7.29,5.91,32.02,5.54,16.58,9.33,5.86,24.39,3.79,3.11,3.25,12.56,19.23,9.03,3.88,2.91,16.89,8.48,15.58,8.2,12.23,8.27,26.11,4.13,10.81,7.26,4.64,28.1,9.62,1.02,9.32,5.48,6.72,18.2,6.25,9.52,4.89,6.06,6.7,34.22,3.42,3.81,18.38,12.17,3.86,0.68,1.68,13.72,5,9.12,10.61,8.17,3.44,11.94,0.43,3.5
1.9,2.93,0.99,17.15,2.11,4.09,3.24,1.8,6.8,1.46,2.44,4.2,3.86,3.03,3.22,1.12,3.8,1.68,1.87,4.72,4.23,0.87,1.15,2.72,1.98,2.44,3,0.7,1.24,2.22,2.22,0.66,2.77,7.08,0.56,6.95,6.68,4.01,5.46,5.5,5.11,0.46,8.73,6.65,1.88,0.89,7.34,2.53,6.3,6.9,2.91,7.32,7.49,1.79,2.41,2.89,3.31,5.2,3.1,4.83,3.44
