"TCGA-2L-AAQE-01A","TCGA-XD-AAUL-01A","TCGA-2L-AAQJ-01A","TCGA-2L-AAQI-01A","TCGA-3A-A9IB-01A","TCGA-3A-A9IU-01A","TCGA-FB-AAPS-01A","TCGA-HV-AA8X-01A","TCGA-LB-A9Q5-01A","TCGA-HZ-A9TJ-01A","TCGA-3A-A9IH-01A","TCGA-RB-AA9M-01A","TCGA-IB-AAUQ-01A","TCGA-3A-A9J0-01A","TCGA-FB-AAQ3-01A","TCGA-FB-AAQ1-01A","TCGA-2J-AAB9-01A","TCGA-2J-AABA-01A","TCGA-2J-AABR-01A","TCGA-FB-AAQ6-01A","TCGA-2J-AABE-01A","TCGA-2J-AABT-01A","TCGA-FB-AAPQ-01A","TCGA-HV-AA8V-01A","TCGA-2J-AABV-01A","TCGA-2J-AABF-01A","TCGA-2J-AABU-01A","TCGA-FB-AAPU-01A","TCGA-2J-AABH-01A","TCGA-FB-AAPY-01A","TCGA-2J-AAB1-01A","TCGA-XD-AAUG-01A","TCGA-2J-AAB4-01A","TCGA-2J-AABI-01A","TCGA-FB-AAPZ-01A","TCGA-XD-AAUH-01A","TCGA-3A-A9IX-01A","TCGA-2J-AABK-01A","TCGA-2J-AAB6-01A","TCGA-FB-AAQ0-01A","TCGA-XD-AAUI-01A","TCGA-2J-AAB8-01A","TCGA-3A-A9IZ-01A","TCGA-2J-AABO-01A","TCGA-Z5-AAPL-01A","TCGA-FB-AAQ2-01A","TCGA-F2-6879-01A","TCGA-HZ-7925-01A","TCGA-IB-7651-01A","TCGA-HZ-7926-01A","TCGA-IB-7885-01A","TCGA-IB-7652-01A","TCGA-IB-7644-01A","TCGA-IB-7887-01A","TCGA-IB-7889-01A","TCGA-IB-7646-01A","TCGA-IB-7886-01A","TCGA-IB-7893-01A","TCGA-HZ-7919-01A","TCGA-HZ-8001-01A","TCGA-IB-7647-01A","TCGA-IB-7897-01A","TCGA-IB-7888-01A","TCGA-HZ-8002-01A","TCGA-HZ-7922-01A","TCGA-HZ-8003-01A","TCGA-IB-7649-01A","TCGA-IB-7645-01A","TCGA-IB-7890-01A","TCGA-IB-7891-01A","TCGA-H6-8124-01A","TCGA-HZ-8315-01A","TCGA-HZ-8317-01A","TCGA-HZ-8519-01A","TCGA-HZ-8636-01A","TCGA-HZ-8637-01A","TCGA-IB-8127-01A","TCGA-IB-8126-01A","TCGA-F2-A44H-01A","TCGA-FB-A4P6-01A","TCGA-FB-A4P5-01A","TCGA-H6-A45N-01A","TCGA-HV-A5A3-01A","TCGA-HV-A5A5-01A","TCGA-HV-A5A4-01A","TCGA-HZ-A49H-01A","TCGA-HV-A5A6-01A","TCGA-HZ-A49G-01A","TCGA-HZ-A4BH-01A","TCGA-HZ-A49I-01A","TCGA-HZ-A4BK-01A","TCGA-M8-A5N4-01A","TCGA-F2-A44G-01A","TCGA-HZ-8005-01A","TCGA-PZ-A5RE-01A","TCGA-FB-A78T-01A","TCGA-FB-A5VM-01A","TCGA-US-A774-01A","TCGA-OE-A75W-01A","TCGA-US-A779-01A","TCGA-IB-A5SP-01A","TCGA-IB-A5SQ-01A","TCGA-US-A77G-01A","TCGA-US-A77E-01A","TCGA-Q3-A5QY-01A","TCGA-IB-A5ST-01A","TCGA-IB-A5SO-01A","TCGA-IB-A5SS-01A","TCGA-IB-A6UF-01A","TCGA-HV-A7OL-01A","TCGA-IB-A6UG-01A","TCGA-HZ-A77P-01A","TCGA-HZ-A77O-01A","TCGA-LB-A7SX-01A","TCGA-RB-A7B8-01A","TCGA-US-A776-01A","TCGA-HZ-A8P0-01A","TCGA-IB-A7LX-01A","TCGA-HZ-A77Q-01A","TCGA-IB-A7M4-01A","TCGA-XN-A8T5-01A","TCGA-LB-A8F3-01A","TCGA-YB-A89D-01A","TCGA-YY-A8LH-01A","TCGA-S4-A8RP-01A","TCGA-XN-A8T3-01A","TCGA-F2-A8YN-01A","TCGA-S4-A8RO-01A","TCGA-HZ-A8P1-01A","TCGA-IB-AAUM-01A","TCGA-IB-AAUP-01A","TCGA-IB-AAUT-01A","TCGA-YH-A8SY-01A","TCGA-IB-AAUU-01A","TCGA-IB-AAUS-01A","TCGA-Q3-AA2A-01A","TCGA-S4-A8RM-01A","TCGA-2L-AAQA-01A","TCGA-2L-AAQL-01A","TCGA-3A-A9I5-01A","TCGA-3A-A9I9-01A","TCGA-3A-A9I7-01A","TCGA-3E-AAAY-01A","TCGA-3E-AAAZ-01A","TCGA-F2-A7TX-01A","TCGA-IB-AAUN-01A","TCGA-IB-AAUO-01A","TCGA-3A-A9IC-01A","TCGA-IB-AAUR-01A","TCGA-FB-A545-01A"
240.5005,422.4532,90.5941,89.3968,336.1887,224.0773,2288.2759,463.7994,107.7872,34.3654,278.7726,19.7425,379.4643,547.1349,1067.8101,119.9101,245.4448,70.7687,79.7774,283.5681,541.3905,60.0751,335.6427,1636.7604,15.748,136.7945,436.6812,23.6539,135.0174,330.4442,94.6341,889.8649,95.5387,1578.3745,197.6828,17.6991,161.3068,9.8882,743.2749,161.0459,122.3378,804.7004,249.8141,418.2692,91.1681,111.2145,279.7409,956.3853,102.6337,80.3206,926.072,249.6687,47.8528,577.0342,79.522,139.0863,215.4793,1506.7466,347.3818,229.4479,111.8662,45.1753,91.3594,110.1604,142.1842,224.9607,282.5051,177.5468,985.9386,171.1161,579.5651,162.4385,117.2423,21.3545,663.1128,331.4121,388.5255,34.9941,162.1924,12.9428,108.9522,142.6345,382.3228,185.4419,250.9404,13.8543,471.6274,143.8731,42.2366,117.728,51.109,314.1872,448.6755,322.1216,647.7202,157.7195,483.0464,586.9474,1068.5204,10.0759,20.8136,315.6561,14.1488,152.8384,432.9165,366.0987,500.1937,410.6651,68.9027,269.8706,136.3449,39.8773,183.2308,39.4294,1031.6607,0.49,476.7398,59.2379,1614.5711,154.7045,20.8582,70.5584,474.8201,31.7495,277.9248,521.6245,641.709,231.9729,113.1737,103.9427,51.9194,23.9234,1356.8925,161.9088,698.1872,513.3381,64.8649,176.5534,342.8274,128.4514,167.1388,80.727,152.6085,19.0726,161.3896,333.8954,204.6207,645.9259,120.8296,190.7646
224.7451,85.6549,296.5347,139.9254,243.4748,94.9033,533.1034,24.638,298.6983,73.3129,172.6842,455.794,68.8776,554.0005,75.0921,73.4449,338.6924,600.595,458.8745,57.277,73.3775,3510.6383,89.744,95.5383,236.2205,421.0153,220.524,16.8957,149.3902,164.6804,357.0732,1411.4865,259.2593,9.7968,417.0891,2317.5429,1358.244,121.2382,78.9474,19.5387,658.742,265.0999,38.6617,468.75,1150.9972,143.3225,17.3734,480.3891,110.7793,272.1808,607.1998,394.3811,187.4233,77.7788,430.5727,257.3604,227.5341,38.2309,123.98,4052.3517,508.8866,4203.4695,1801.8712,2641.7112,530.1927,761.9297,211.0279,2730.9771,57.906,508.202,15.2409,427.8682,1943.6727,2473.6941,249.5849,844.3804,189.3414,3114.4718,148.7696,677.1117,1766.479,720.9665,15.5732,123.0503,48.8984,2344.1397,23.0193,759.8468,747.3002,648.0539,159.595,145.8932,67.8808,43.9845,16.0796,131.0861,470.0052,283.3684,15.8888,29.724,63.9636,493.5803,87.6312,93.0131,1306.7272,1851.0266,858.1945,99.8197,179.7253,32.6556,198.0759,2023.773,59.2317,70.0452,150.5376,86.7222,93.7522,50.0537,3223.8543,34.9987,1887.3659,56.8528,271.8397,13.229,225.5161,171.9409,33.476,89.2591,27.5449,384.2294,1427.3426,387.5598,1.7523,242.4372,654.5811,73.54,54.4699,54.2932,205.6964,154.8619,152.4079,438.7151,545.1,1672.0269,178.1003,164.6993,29.5126,66.1728,1241.2083,33.3081
145.5051,261.9543,214.3564,75.3071,239.0406,343.5852,1120,194.9427,189.9977,148.3442,185.074,102.1459,286.352,474.254,589.4732,70.9468,191.8542,447.1583,190.4762,199.061,375.5203,150.8135,122.0519,525.2182,66.1417,192.7882,302.4017,33.0404,133.7108,282.2319,205.3659,626.3514,135.101,232.5835,231.7161,180.1145,369.1679,36.1135,187.1345,282.4223,208.0238,735.1351,207.4349,217.9487,109.9715,50.7213,285.3357,663.006,296.2259,123.0572,595.4519,235.0914,156.135,349.654,422.3321,601.0152,397.4312,1262.7436,192.9018,347.6483,269.9948,267.0763,554.7606,201.426,577.3019,191.4001,267.5289,365.4886,551.9001,255.1732,241.7944,512.3059,79.0111,154.7542,383.4659,108.5495,365.473,146.1517,416.1074,100.8174,270.9279,187.841,173.6415,160.0231,284.2558,152.951,500,99.5624,248.1401,149.6355,93.5391,310.741,382.4503,417.4213,445.2819,136.496,294.7314,304.4211,679.7418,39.7999,28.9359,312.7152,33.7745,412.2271,301.0206,471.8218,948.4696,726.0651,213.9357,215.65,76.7611,55.2147,167.7309,53.3457,502.3895,16.1685,285.246,156.1309,564.6298,296.7284,197.8546,157.868,500.5139,59.0894,195.8708,245.7806,262.6578,113.9693,105.3892,198.5663,157.5181,164.4737,567.1729,146.9962,406.1734,173.7563,82.7443,219.9879,346.0616,295.3181,128.0453,279.3745,378.352,135.7517,134.1249,209.1062,199.7019,689.8765,118.1244,290.6889
131.1399,68.6071,120.297,172.4775,655.85,77.3286,1081.3793,10.8061,298.6983,162.0903,298.1318,374.2489,202.1684,188.0116,141.1732,251.8111,271.1683,851.1038,534.9412,49.7653,41.3134,1748.4355,226.155,55.7711,401.5748,332.0634,26.2009,37.1705,93.2056,85.0488,259.0244,1940.5405,192.3401,6.5312,196.2346,1931.2858,1207.5549,163.8005,80.117,14.2099,624.5666,156.0517,34.2007,442.3077,243.8746,77.2452,200.8245,1038.9081,64.3497,850.7923,220.861,511.2642,200.3067,83.3844,530.2843,181.7259,120.1711,916.7916,186.9603,2167.6892,442.7601,3079.8699,2739.1304,2496.6132,651.3919,818.0388,771.273,2108.5239,186.5289,1109.4671,60.5516,411.2079,2074.1685,2178.1584,460.3688,543.3878,203.0694,1661.1888,140.9396,783.3787,1307.4269,1106.781,11.6799,108.03,127.8882,4505.9573,18.7366,824.9453,761.6991,365.2868,277.7242,34.463,71.7439,34.9288,41.2298,101.1236,259.7809,297.6842,191.1619,30.7316,150.2637,414.6662,163.3957,183.8428,364.3094,652.2499,876.7919,11.3863,249.1098,23.4134,111.6525,2194.4018,50.9282,139.6266,162.4851,62.7144,187.5044,44.5432,1336.0752,80.6493,2320.0238,76.6497,563.7205,9.2603,279.513,324.3671,65.922,90.2677,122.7545,365.5914,1088.9867,272.1292,73.5981,196.421,516.9035,58.3994,449.0644,22.9238,467.6683,192.0768,182.4363,261.623,778.6446,474.196,158.7511,157.3918,29.0207,65.679,1206.9432,40.1211
49.1196,106.0291,21.7822,26.236,122.9467,43.058,601.3793,40.1988,40.1918,15.4644,60.4007,45.0644,300.3827,71.8247,177.2174,18.4861,79.314,49.4755,38.3426,46.9484,127.0233,30.6633,42.1797,160.0388,15.748,59.1831,79.6943,58.5716,42.2474,78.5482,64.3902,151.3514,48.4007,46.0813,33.3092,58.8235,68.1981,61.4789,112.2807,20.1307,39.1283,297.0623,17.1004,113.7821,14.8148,48.3946,142.2261,156.5736,42.8998,13.0332,190.9877,119.7986,40.4908,19.9702,69.6333,35.0254,113.767,181.7841,106.5515,237.2188,62.7287,87.0979,114.4744,94.4742,115.2034,131.6203,71.4772,59.0437,267.4948,75.0509,151.9968,83.3018,17.3315,122.0633,176.5271,62.7602,76.669,41.1695,119.6868,28.6104,51.5707,79.5012,225.8119,58.3478,145.0833,45.9961,69.5931,66.7396,39.8368,61.0645,18.3221,130.3848,89.404,168.6072,83.2842,34.124,234.2201,74.9474,111.2214,12.0911,11.6759,200.9612,10.4975,84.2795,53.1839,77.3263,89.1127,103.6151,26.501,135.5514,14.4934,30.6748,89.1243,135.9156,168.4588,14.6987,26.5964,32.6038,111.6334,163.3274,26.8176,26.9036,155.1901,15.8748,79.9365,112.8692,261.6278,54.4632,17.9641,38.7097,121.8785,47.8469,265.1869,26.4167,61.7344,72.0981,22.869,53.4888,84.7366,78.6315,44.1926,181.7413,71.1848,59.0875,227.3527,46.0933,73.7815,180.2469,56.8079,57.5322
37.9981,14.9688,269.802,21.3775,162.0478,8.348,60.6897,6.9159,242.9778,24.6286,87.5036,242.9185,62.5,280.4331,32.2896,7.4944,60.0214,78.9103,108.2251,6.5728,14.1822,327.9099,44.872,1.9399,795.2756,57.4112,9.8253,21.7766,27.8746,56.338,209.2683,230.4054,8.4175,3.6284,182.4765,2219.1567,502.7055,128.5469,11.1111,10.6574,215.9485,41.3631,0.7435,701.1218,1232.4786,54.4439,2.6502,20.3954,2.1721,87.898,415.2052,60.1643,24.8466,1.7518,163.5764,5.5838,5.274,0.3748,2.3766,1512.0654,79.195,1972.8948,302.6968,473.7968,117.773,241.2166,26.5487,966.3202,42.0203,126.5144,1.2357,69.2919,1786.6701,933.2705,12.2346,189.8815,19.9443,854.2669,13.4228,632.1526,659.5242,57.6773,7.008,99.3645,11.2843,2034.9127,2.6767,146.6083,587.953,161.1883,11.0897,22.9753,25.9382,1.7249,2.8861,55.7636,947.8352,48.4211,13.4062,20.1518,16.2447,332.8113,26.0155,13.1004,1111.5425,486.2385,127.0825,27.7066,11.5641,51.1399,30.5971,961.273,43.7318,8.8136,60.3345,25.4777,19.9473,13.317,454.1716,6.594,1271.7521,7.1066,45.221,7.4964,45.5267,14.2405,10.3003,110.9436,2.994,217.2043,74.3591,69.378,18.6916,74.5633,124.4488,100.9373,17.0478,92.4995,62.097,346.3385,107.6487,17.7515,334.471,259.5363,13.6324,16.3013,12.2969,3.9506,416.1407,2.271
154.3095,191.2682,272.2772,222.0344,420.0343,176.1863,213.1034,144.37,120.5755,284.6604,193.2049,227.4678,209.8214,181.6741,82.6013,139.8951,156.4845,165.9621,189.2393,136.1502,205.3337,178.9737,336.5402,188.6518,20.4724,243.8203,191.048,250.8068,286.5854,140.8451,154.1463,191.2162,132.5758,232.2206,284.5764,130.6611,233.1802,110.4901,204.6784,211.9648,160.4755,325.2644,197.7695,241.9872,215.3846,247.0917,171.967,254.7851,314.9606,321.8887,233.9515,291.5452,181.5951,155.2071,102.1838,425.3807,854.3829,477.8861,336.687,118.6094,386.0429,354.897,239.956,266.3102,398.7152,211.3267,201.4976,250.3119,383.8191,238.4475,327.0609,257.4782,144.259,174.5269,518.7451,132.885,422.9748,127.6254,143.1767,112.3978,74.0875,125.4871,129.2578,93.0098,289.0919,68.1629,186.8308,99.5624,168.9465,127.0802,157.1842,188.9719,153.9735,304.0103,203.6752,123.1794,77.7256,175.1579,73.9821,97.2326,106.606,215.1755,147.8777,185.1528,172.8475,168.1957,229.3685,210.2666,105.5223,99.8152,220.6211,113.1135,271.8016,95.0945,211.4695,10.2891,109.0451,446.3507,263.8073,124.7781,237.1871,198.4772,272.8674,276.0445,189.5183,183.5443,234.3319,276.8546,126.9461,109.6774,312.8362,167.4641,186.3318,176.8215,149.9265,217.0151,124.7401,215.564,79.5618,55.8223,66.289,147.5063,151.1458,104.712,197.4494,214.1653,204.6207,199.0123,204.6889,172.5965
219.1844,139.7089,292.5743,135.5527,335.7855,126.0984,478.6207,48.8437,196.3919,79.6133,166.8764,290.1288,180.4847,329.0203,78.0958,67.4494,274.3837,267.4182,405.6895,81.6901,120.8571,1619.5244,70.0004,152.7643,198.4252,209.4445,175.7642,43.5533,114.9826,219.3933,160,1683.7838,142.6768,70.7547,328.0232,1934.9297,789.7907,173.2588,142.1053,39.0773,444.2793,157.9318,72.119,447.1154,1350.4274,157.7478,87.1614,464.3866,195.4928,425.5477,333.641,306.9176,135.2761,104.4057,244.7466,318.7817,152.5684,491.0045,175.8694,730.0613,613.6958,2017.3473,977.4353,1081.6399,439.4004,575.2491,428.8632,1575.4678,403.8044,428.4336,170.533,230.2158,892.5704,910.0706,258.3239,503.0419,180.7939,771.2417,148.7696,531.3351,599.2373,316.4458,46.7197,150.7799,115.5293,1477.4176,63.1692,298.14,652.7478,238.7567,182.7387,114.3021,89.9558,165.5886,73.389,178.943,582.6813,253.4737,89.3744,67.0049,61.4254,497.0113,52.031,130.5677,947.7362,778.9428,464.9361,192.8077,77.0939,113.9864,134.7345,1886.1196,85.8029,44.0682,169.0562,49.4855,158.9133,50.0537,1754.4066,105.5034,1340.2861,43.1472,274.409,42.3327,192.6945,310.654,64.3769,122.0379,38.9222,306.81,785.8304,264.9522,101.6355,148.7005,376.2861,97.3324,65.6965,48.2606,179.8227,229.892,214.1643,483.9391,350.5607,632.012,124.8901,151.2085,43.777,172.3457,2339.495,107.4943
36.1446,311.4345,29.703,68.991,135.4429,67.6626,156.5517,174.6272,107.7872,116.8425,125.4477,119.7425,143.4949,90.309,165.9536,7.4944,34.298,19.4144,25.3556,117.3709,424.8497,116.3955,49.3592,60.6208,9.4488,87.1799,73.1441,38.6723,41.8118,72.0477,57.561,427.7027,172.9798,34.8331,39.1021,34.3571,69.0148,6.0189,63.7427,249.2658,24.7647,372.2679,76.5799,221.9551,18.2336,52.1173,463.4865,105.4283,420.8526,19.7013,230.9306,292.3403,1440.184,115.6171,42.0272,153.2995,719.1433,577.5862,335.4987,133.3333,248.3011,89.9892,138.6901,49.5544,993.576,182.4856,137.5085,104.7817,245.9722,310.9253,217.4914,261.6433,51.4846,47.7181,204.8414,36.1832,295.5384,57.6373,372.4832,23.842,39.2228,45.986,65.4076,10.3986,436.3246,20.5043,46.0385,107.221,92.6326,17.0541,52.5554,92.4756,134.106,304.0103,478.678,15.8136,25.5608,136.4211,194.141,21.6632,48.2265,133.8107,8.6718,123.5808,55.3112,58.9777,201.8597,198.5008,45.2927,87.4923,61.731,21.8558,18.8213,18.555,722.8196,0,39.8945,131.3336,47.5911,52.2445,81.6448,36.5482,362.2816,23.3712,228.163,47.9958,398.6218,50.9332,25.7485,74.552,304.0363,61.6029,238.3178,162.761,37.7266,43.9798,49.896,199.8793,69.8592,11.4046,173.9377,147.929,90.6875,226.6268,42.6561,97.8078,81.6515,138.2716,49.1434,59.8032
176.089,28.6902,102.4752,124.864,359.1656,176.6257,216.5517,57.9209,375.4282,73.8857,119.6399,239.485,129.4643,210.1928,51.8136,54.9588,86.8167,788.4766,384.663,66.6667,31.4475,506.2578,43.0771,147.4297,122.8346,298.042,53.4934,32.665,84.9303,171.1809,122.439,874.3243,104.3771,14.1509,206.3722,1549.7137,889.4334,130.6965,116.9591,7.105,271.9168,206.8155,52.0446,485.5769,231.339,102.3732,26.2073,582.6796,145.8051,260.9662,301.7538,351.4445,178.2209,103.705,256.6955,174.1117,139.7602,239.8801,194.8824,844.5808,207.2661,2660.2819,1161.2548,599.287,367.0236,441.0068,526.2083,1451.5593,190.116,430.149,47.7822,385.8387,665.7321,1039.2521,203.0936,432.5969,225.0858,1362.7101,142.0582,456.4033,494.6432,508.1839,49.0557,143.8475,78.9898,1310.0582,12.3126,532.2757,442.5246,453.8578,248.7946,143.5956,57.3951,26.7357,38.756,147.3159,251.9562,227.7895,20.3575,59.4479,74.6242,351.9271,57.9644,59.3886,360.0547,1417.6496,677.6443,65.6609,85.767,56.069,129.3666,801.3804,42.0711,83.4976,121.2664,48.5056,146.28,57.4011,957.6968,56.3023,1705.006,32.4873,276.4645,23.3712,177.3425,253.692,78.2823,84.2163,15.5689,491.7563,803.8702,306.8182,15.1869,155.5177,379.7158,43.2588,109.3555,29.3585,244.5071,160.2641,116.1473,219.7802,595.8069,235.9761,205.8047,141.0905,26.0695,47.9012,1047.7908,53.7472
